org_name.x,org_city.x,org_state.x,lat.x,lon.x,org_name.y,org_city.y,org_state.y,lat.y,lon.y,org_name.dist,org_city.dist,org_state.dist,org_name
San Jose State University,San Jose,CA,37.34094,-121.88941,San Diego State University Foundation,San Diego,CA,32.7722404,-117.0723063,0.1817783,0.25,5.55E-17,NA
San Jose State University,San Jose,CA,37.34094,-121.88941,San Jose State University Foundation,San Jose,CA,37.3360786,-121.8804535,0.101851852,5.55E-17,5.55E-17,San Jose State University
Seattle Children's Hospital,Seattle,WA,47.66243,-122.28229,Seattle University,Seattle,WA,47.6107522,-122.318706,0.237037037,5.55E-17,5.55E-17,NA
St. Jude Children's Research Hospital,Memphis,TN,35.15435,-90.04362,St Jude Children's Research Hospital,Memphis,TN,35.1545514,-90.0428758,0.009009009,5.55E-17,5.55E-17,St. Jude Children's Research Hospital
St. Jude Children's Research Hospital,Memphis,TN,35.15561,-90.04528,St Jude Children's Research Hospital,Memphis,TN,35.1545514,-90.0428758,0.009009009,5.55E-17,5.55E-17,St. Jude Children's Research Hospital
St. Mary's University,San Antonio,TX,29.45193,-98.5606,St Mary's University San Antonio,San Antonio,TX,29.4524263,-98.5646855,0.140873016,5.55E-17,5.55E-17,St. Mary's University San Antonio
Temple University of the Commonwealth,Philadelphia,PA,39.98027,-75.15705,Temple University,Philadelphia,PA,39.9802697,-75.1572667,0.18018018,5.55E-17,5.55E-17,Temple University
Texas A&M University,College Station,TX,30.55165,-96.24288,Texas A&M Engineering Experiment Station,College Station,TX,30.6096445,-96.3395921,0.266666667,5.55E-17,5.55E-17,Texas A&M University
Texas A&M University,College Station,TX,30.60588,-96.36877,Texas A&M Engineering Experiment Station,College Station,TX,30.6096445,-96.3395921,0.266666667,5.55E-17,5.55E-17,Texas A&M University
Texas Engineering Experiment Station,College Station,TX,30.56154,-96.25321,Texas A&M Engineering Experiment Station,College Station,TX,30.6096445,-96.3395921,0.135185185,5.55E-17,5.55E-17,Texas A&M University
Texas State University,San Marcos,TX,29.88877,-97.93744,Texas State University - San Marcos,San Marcos,TX,29.8881619,-97.9337501,0.123809524,5.55E-17,5.55E-17,Texas State University - San Marcos
Tulane University of Louisiana,New Orleans,LA,29.93543,-90.12279,Tulane University,New Orleans,LA,29.9354069,-90.1227528,0.144444444,5.55E-17,5.55E-17,Tulane University
Tulane University of Louisiana,New Orleans,LA,29.93543,-90.12279,Xavier University of Louisiana,New Orleans,LA,29.9653819,-90.1083798,0.22991453,5.55E-17,5.55E-17,NA
University of Alabama,Tuscaloosa,AL,33.21566,-87.53919,University of Alabama Tuscaloosa,Tuscaloosa,AL,33.2089381,-87.5474885,0.114583333,5.55E-17,5.55E-17,University of Alabama Tuscaloosa
University of Alaska Anchorage,Anchorage,AK,61.19065,-149.81813,University of Alaska Anchorage Campus,Anchorage,AK,61.1907601,-149.8180503,0.063063063,5.55E-17,5.55E-17,University of Alaska Anchorage
University of Alaska Fairbanks,Fairbanks,AK,64.85744,-147.8003,University of Alaska Fairbanks Campus,Fairbanks,AK,64.8613749,-147.8295475,0.063063063,5.55E-17,5.55E-17,University of Alaska Fairbanks
University of Arkansas at Fayetteville,Fayetteville,AR,36.06992,-94.17696,University of Arkansas,Fayetteville,AR,36.0699572,-94.1769533,0.140350877,5.55E-17,5.55E-17,University of Arkansas at Fayetteville
