OID_,Join_Count,New119Fips,GEOID,NAMELSAD,lat,lon,GEOID_1,STATEFP,CD119FP,GEOIDFQ
95,1,611,611,Congressional District 11,37.765008999999999,-122.460723000000002,0611,06,11,5001900US0611
96,1,611,611,Congressional District 11,37.766494999999999,-122.387811999999997,0611,06,11,5001900US0611
97,1,611,611,Congressional District 11,37.791285999999999,-122.410934999999995,0611,06,11,5001900US0611
98,1,611,611,Congressional District 11,37.767617999999999,-122.394315000000006,0611,06,11,5001900US0611
99,1,611,611,Congressional District 11,37.758786000000001,-122.390957999999998,0611,06,11,5001900US0611
100,1,611,611,Congressional District 11,37.787579999999998,-122.388458000000000,0611,06,11,5001900US0611
101,1,611,611,Congressional District 11,37.777627000000003,-122.393424999999993,0611,06,11,5001900US0611
102,1,611,611,Congressional District 11,37.771158000000000,-122.433321000000007,0611,06,11,5001900US0611
103,1,611,611,Congressional District 11,37.769249000000002,-122.447624000000005,0611,06,11,5001900US0611
104,1,611,611,Congressional District 11,37.752052999999997,-122.412642000000005,0611,06,11,5001900US0611
105,1,611,611,Congressional District 11,37.781716000000003,-122.408685000000006,0611,06,11,5001900US0611
106,1,611,611,Congressional District 11,37.798009999999998,-122.396964999999994,0611,06,11,5001900US0611
107,1,611,611,Congressional District 11,37.775337999999998,-122.459040999999999,0611,06,11,5001900US0611
108,1,611,611,Congressional District 11,37.764446000000000,-122.460684000000001,0611,06,11,5001900US0611
109,1,611,611,Congressional District 11,37.754123000000000,-122.429108999999997,0611,06,11,5001900US0611
110,1,611,611,Congressional District 11,37.801915999999999,-122.401120000000006,0611,06,11,5001900US0611
111,1,611,611,Congressional District 11,37.736770000000000,-122.439113000000006,0611,06,11,5001900US0611
112,1,611,611,Congressional District 11,37.760150000000003,-122.442935000000006,0611,06,11,5001900US0611
113,1,611,611,Congressional District 11,37.781241000000001,-122.503637999999995,0611,06,11,5001900US0611
114,1,611,611,Congressional District 11,37.775975000000003,-122.392972000000000,0611,06,11,5001900US0611
115,1,611,611,Congressional District 11,37.771334000000003,-122.392908000000006,0611,06,11,5001900US0611
116,1,611,611,Congressional District 11,37.790663000000002,-122.403763999999995,0611,06,11,5001900US0611
117,1,611,611,Congressional District 11,37.765042999999999,-122.394529000000006,0611,06,11,5001900US0611
118,1,611,611,Congressional District 11,37.763240000000003,-122.388298000000006,0611,06,11,5001900US0611
119,1,611,611,Congressional District 11,37.769950000000001,-122.466803999999996,0611,06,11,5001900US0611
120,1,611,611,Congressional District 11,37.792141000000001,-122.402850000000001,0611,06,11,5001900US0611
121,1,611,611,Congressional District 11,37.766978999999999,-122.393665999999996,0611,06,11,5001900US0611
122,1,611,611,Congressional District 11,37.787354999999998,-122.399120999999994,0611,06,11,5001900US0611
123,1,611,611,Congressional District 11,37.783642000000000,-122.455993000000007,0611,06,11,5001900US0611
124,1,611,611,Congressional District 11,37.774448999999997,-122.402086999999995,0611,06,11,5001900US0611
125,1,611,611,Congressional District 11,37.792194000000002,-122.398072999999997,0611,06,11,5001900US0611
126,1,611,611,Congressional District 11,37.770479000000002,-122.388565000000000,0611,06,11,5001900US0611
127,1,611,611,Congressional District 11,37.740363000000002,-122.466748999999993,0611,06,11,5001900US0611
128,1,611,611,Congressional District 11,37.789808000000001,-122.401767000000007,0611,06,11,5001900US0611
129,1,611,611,Congressional District 11,37.775863999999999,-122.398016999999996,0611,06,11,5001900US0611
130,1,611,611,Congressional District 11,37.779353999999998,-122.393234000000007,0611,06,11,5001900US0611
131,1,611,611,Congressional District 11,37.758249999999997,-122.391129000000006,0611,06,11,5001900US0611
132,1,611,611,Congressional District 11,37.790478000000000,-122.409227999999999,0611,06,11,5001900US0611
133,1,611,611,Congressional District 11,37.729742999999999,-122.460199000000003,0611,06,11,5001900US0611
134,1,611,611,Congressional District 11,37.795720000000003,-122.422105000000002,0611,06,11,5001900US0611
135,1,611,611,Congressional District 11,37.759168000000003,-122.416554000000005,0611,06,11,5001900US0611
136,1,611,611,Congressional District 11,37.773488999999998,-122.395916999999997,0611,06,11,5001900US0611
137,1,611,611,Congressional District 11,37.764373999999997,-122.413264999999996,0611,06,11,5001900US0611
138,1,611,611,Congressional District 11,37.801963999999998,-122.409199999999998,0611,06,11,5001900US0611
139,1,611,611,Congressional District 11,37.759222999999999,-122.451910999999996,0611,06,11,5001900US0611
140,1,611,611,Congressional District 11,37.776201000000000,-122.461456999999996,0611,06,11,5001900US0611
