countyyequivalent,statename,CountyFIPS,CBSA_NAME,Micro_Metro,CSA_NAME,CBSA_FIPS,CSA_FIPS,centraloutlyingcounty
Warren County,Iowa,19181,"Des Moines-West Des Moines, IA",Metro Area,"Des Moines-West Des Moines-Ames, IA",19780,218,Outlying
Washington County,Iowa,19183,"Iowa City, IA",Metro Area,"Cedar Rapids-Iowa City, IA",26980,168,Outlying
Webster County,Iowa,19187,"Fort Dodge, IA",Micro Area,,22700,,Central
Woodbury County,Iowa,19193,"Sioux City, IA-NE-SD",Metro Area,"Sioux City-Le Mars, IA-NE-SD",43580,512,Central
Worth County,Iowa,19195,"Mason City, IA",Micro Area,,32380,,Outlying
Atchison County,Kansas,20005,"Atchison, KS",Micro Area,"Kansas City-Overland Park-Kansas City, MO-KS",11860,312,Central
Barton County,Kansas,20009,"Great Bend, KS",Micro Area,,24460,,Central
Butler County,Kansas,20015,"Wichita, KS",Metro Area,"Wichita-Arkansas City-Winfield, KS",48620,556,Central
Chase County,Kansas,20017,"Emporia, KS",Micro Area,,21380,,Outlying
Cherokee County,Kansas,20021,"Joplin, MO-KS",Metro Area,"Joplin-Miami, MO-OK-KS",27900,309,Outlying
Cowley County,Kansas,20035,"Arkansas City-Winfield, KS",Micro Area,"Wichita-Arkansas City-Winfield, KS",11680,556,Central
Crawford County,Kansas,20037,"Pittsburg, KS",Micro Area,,38260,,Central
Doniphan County,Kansas,20043,"St. Joseph, MO-KS",Metro Area,"Kansas City-Overland Park-Kansas City, MO-KS",41140,312,Outlying
Douglas County,Kansas,20045,"Lawrence, KS",Metro Area,"Kansas City-Overland Park-Kansas City, MO-KS",29940,312,Central
Ellis County,Kansas,20051,"Hays, KS",Micro Area,,25700,,Central
Finney County,Kansas,20055,"Garden City, KS",Micro Area,,23780,,Central
Ford County,Kansas,20057,"Dodge City, KS",Micro Area,,19980,,Central
Franklin County,Kansas,20059,"Ottawa, KS",Micro Area,"Kansas City-Overland Park-Kansas City, MO-KS",36840,312,Central
Geary County,Kansas,20061,"Manhattan, KS",Metro Area,,31740,,Outlying
Harvey County,Kansas,20079,"Wichita, KS",Metro Area,"Wichita-Arkansas City-Winfield, KS",48620,556,Outlying
Jackson County,Kansas,20085,"Topeka, KS",Metro Area,,45820,,Outlying
Jefferson County,Kansas,20087,"Topeka, KS",Metro Area,,45820,,Outlying
Johnson County,Kansas,20091,"Kansas City, MO-KS",Metro Area,"Kansas City-Overland Park-Kansas City, MO-KS",28140,312,Central
Leavenworth County,Kansas,20103,"Kansas City, MO-KS",Metro Area,"Kansas City-Overland Park-Kansas City, MO-KS",28140,312,Outlying
Linn County,Kansas,20107,"Kansas City, MO-KS",Metro Area,"Kansas City-Overland Park-Kansas City, MO-KS",28140,312,Outlying
Lyon County,Kansas,20111,"Emporia, KS",Micro Area,,21380,,Central
McPherson County,Kansas,20113,"McPherson, KS",Micro Area,,32700,,Central
Miami County,Kansas,20121,"Kansas City, MO-KS",Metro Area,"Kansas City-Overland Park-Kansas City, MO-KS",28140,312,Outlying
Osage County,Kansas,20139,"Topeka, KS",Metro Area,,45820,,Outlying
Ottawa County,Kansas,20143,"Salina, KS",Micro Area,,41460,,Outlying
Pottawatomie County,Kansas,20149,"Manhattan, KS",Metro Area,,31740,,Outlying
Reno County,Kansas,20155,"Hutchinson, KS",Micro Area,,26740,,Central
Riley County,Kansas,20161,"Manhattan, KS",Metro Area,,31740,,Central
Saline County,Kansas,20169,"Salina, KS",Micro Area,,41460,,Central
Sedgwick County,Kansas,20173,"Wichita, KS",Metro Area,"Wichita-Arkansas City-Winfield, KS",48620,556,Central
Seward County,Kansas,20175,"Liberal, KS",Micro Area,,30580,,Central
Shawnee County,Kansas,20177,"Topeka, KS",Metro Area,,45820,,Central
Sumner County,Kansas,20191,"Wichita, KS",Metro Area,"Wichita-Arkansas City-Winfield, KS",48620,556,Outlying
Wabaunsee County,Kansas,20197,"Topeka, KS",Metro Area,,45820,,Outlying
Wyandotte County,Kansas,20209,"Kansas City, MO-KS",Metro Area,"Kansas City-Overland Park-Kansas City, MO-KS",28140,312,Central
Allen County,Kentucky,21003,"Bowling Green, KY",Metro Area,"Bowling Green-Glasgow-Franklin, KY",14540,150,Outlying
Anderson County,Kentucky,21005,"Frankfort, KY",Micro Area,"Lexington-Fayette--Richmond--Frankfort, KY",23180,336,Outlying
Ballard County,Kentucky,21007,"Paducah, KY-IL",Metro Area,"Paducah-Mayfield, KY-IL",37140,424,Outlying
Barren County,Kentucky,21009,"Glasgow, KY",Micro Area,"Bowling Green-Glasgow-Franklin, KY",23980,150,Central
Bath County,Kentucky,21011,"Mount Sterling, KY",Micro Area,"Lexington-Fayette--Richmond--Frankfort, KY",34460,336,Outlying
Bell County,Kentucky,21013,"Middlesborough, KY",Micro Area,"Middlesborough-Corbin, KY",33180,371,Central
Boone County,Kentucky,21015,"Cincinnati, OH-KY-IN",Metro Area,"Cincinnati-Wilmington, OH-KY-IN",17140,178,Central
Bourbon County,Kentucky,21017,"Lexington-Fayette, KY",Metro Area,"Lexington-Fayette--Richmond--Frankfort, KY",30460,336,Outlying
Boyd County,Kentucky,21019,"Huntington-Ashland, WV-KY-OH",Metro Area,"Charleston-Huntington-Ashland, WV-OH-KY",26580,170,Central
Boyle County,Kentucky,21021,"Danville, KY",Micro Area,,19220,,Central
Bracken County,Kentucky,21023,"Cincinnati, OH-KY-IN",Metro Area,"Cincinnati-Wilmington, OH-KY-IN",17140,178,Outlying
Bullitt County,Kentucky,21029,"Louisville/Jefferson County, KY-IN",Metro Area,"Louisville/Jefferson County--Elizabethtown, KY-IN",31140,350,Central
Butler County,Kentucky,21031,"Bowling Green, KY",Metro Area,"Bowling Green-Glasgow-Franklin, KY",14540,150,Outlying
Calloway County,Kentucky,21035,"Murray, KY",Micro Area,,34660,,Central
Campbell County,Kentucky,21037,"Cincinnati, OH-KY-IN",Metro Area,"Cincinnati-Wilmington, OH-KY-IN",17140,178,Central
Carlisle County,Kentucky,21039,"Paducah, KY-IL",Metro Area,"Paducah-Mayfield, KY-IL",37140,424,Outlying
Carter County,Kentucky,21043,"Huntington-Ashland, WV-KY-OH",Metro Area,"Charleston-Huntington-Ashland, WV-OH-KY",26580,170,Outlying
Christian County,Kentucky,21047,"Clarksville, TN-KY",Metro Area,,17300,,Outlying
Clark County,Kentucky,21049,"Lexington-Fayette, KY",Metro Area,"Lexington-Fayette--Richmond--Frankfort, KY",30460,336,Outlying
Clay County,Kentucky,21051,"Corbin, KY",Micro Area,"Middlesborough-Corbin, KY",18340,371,Outlying
Daviess County,Kentucky,21059,"Owensboro, KY",Metro Area,,36980,,Central
Edmonson County,Kentucky,21061,"Bowling Green, KY",Metro Area,"Bowling Green-Glasgow-Franklin, KY",14540,150,Outlying
Estill County,Kentucky,21065,"Richmond-Berea, KY",Micro Area,"Lexington-Fayette--Richmond--Frankfort, KY",40080,336,Outlying
Fayette County,Kentucky,21067,"Lexington-Fayette, KY",Metro Area,"Lexington-Fayette--Richmond--Frankfort, KY",30460,336,Central
Floyd County,Kentucky,21071,"Pikeville, KY",Micro Area,,38210,,Outlying
Franklin County,Kentucky,21073,"Frankfort, KY",Micro Area,"Lexington-Fayette--Richmond--Frankfort, KY",23180,336,Central
