table with row headers in column A and column headers in rows 3 through 4 (leading dots indicate sub-parts),
MSA,pop_2024
".Mayfield, KY Micro Area","36,821"
".McAlester, OK Micro Area","43,395"
".McComb, MS Micro Area","52,819"
".McMinnville, TN Micro Area","43,619"
".McPherson, KS Micro Area","30,334"
".Meadville, PA Micro Area","82,089"
".Menomonie, WI Micro Area","46,135"
".Meridian, MS Micro Area","85,743"
".Mexico, MO Micro Area","24,304"
".Miami, OK Micro Area","30,404"
".Middlesborough, KY Micro Area","23,051"
".Milledgeville, GA Micro Area","43,644"
".Minden, LA Micro Area","35,184"
".Mineral Wells, TX Micro Area","30,231"
".Mitchell, SD Micro Area","25,776"
".Moberly, MO Micro Area","24,077"
".Monticello, IN Micro Area","24,833"
".Monticello, NY Micro Area","80,450"
".Montrose, CO Micro Area","44,806"
".Morehead City, NC Micro Area","70,259"
".Morgan City, LA Micro Area","46,799"
".Moscow, ID Micro Area","42,180"
".Moses Lake, WA Micro Area","104,717"
".Moultrie, GA Micro Area","46,977"
".Mountain Home, AR Micro Area","43,007"
".Mountain Home, ID Micro Area","29,729"
".Mount Airy, NC Micro Area","71,547"
".Mount Pleasant, MI Micro Area","65,072"
".Mount Pleasant, TX Micro Area","56,895"
".Mount Sterling, KY Micro Area","48,063"
".Mount Vernon, IL Micro Area","36,107"
".Mount Vernon, OH Micro Area","63,848"
".Murray, KY Micro Area","38,975"
".Murrells Inlet, SC Micro Area","66,035"
".Muscatine, IA Micro Area","42,132"
".Muskogee, OK Micro Area","66,752"
".Nacogdoches, TX Micro Area","65,728"
".Nantucket, MA Micro Area","14,670"
".Natchez, MS-LA Micro Area","53,371"
".Natchitoches, LA Micro Area","35,982"
".New Bern, NC Micro Area","126,179"
".Newberry, SC Micro Area","39,203"
".New Castle, IN Micro Area","49,081"
".New Iberia, LA Micro Area","67,540"
".New Philadelphia-Dover, OH Micro Area","92,048"
".Newport, OR Micro Area","51,212"
".Newport, TN Micro Area","37,596"
".New Ulm, MN Micro Area","25,710"
".Nogales, AZ Micro Area","50,508"
".Norfolk, NE Micro Area","48,669"
".North Platte, NE Micro Area","34,013"
".North Wilkesboro, NC Micro Area","66,186"
".Norwalk, OH Micro Area","58,168"
".Oak Harbor, WA Micro Area","86,478"
".Ocean Pines, MD Micro Area","54,337"
".Oil City, PA Micro Area","49,476"
".Okeechobee, FL Micro Area","42,369"
".Olean, NY Micro Area","75,475"
".Oneonta, NY Micro Area","60,524"
".Ontario, OR-ID Micro Area","59,977"
".Opelousas, LA Micro Area","80,869"
".Orangeburg, SC Micro Area","83,129"
".Oskaloosa, IA Micro Area","22,034"
".Othello, WA Micro Area","21,039"
".Ottawa, IL Micro Area","146,509"
".Ottawa, KS Micro Area","26,273"
".Ottumwa, IA Micro Area","35,681"
".Owatonna, MN Micro Area","37,434"
".Owosso, MI Micro Area","67,982"
".Oxford, MS Micro Area","72,301"
".Ozark, AL Micro Area","50,067"
".Pahrump, NV Micro Area","55,990"
".Palatka, FL Micro Area","77,301"
".Palestine, TX Micro Area","59,512"
".Pampa, TX Micro Area","21,725"
".Paragould, AR Micro Area","46,928"
".Paris, TN Micro Area","32,883"
".Paris, TX Micro Area","62,945"
".Payson, AZ Micro Area","54,073"
".Pella, IA Micro Area","34,048"
".Peru, IN Micro Area","35,613"
".Petoskey, MI Micro Area","33,949"
".Picayune, MS Micro Area","59,030"
".Pierre, SD Micro Area","20,541"
".Pikeville, KY Micro Area","89,962"
".Pine Bluff, AR Micro Area","71,039"
".Pittsburg, KS Micro Area","38,904"
".Plainview, TX Micro Area","36,995"
".Platteville, WI Micro Area","52,330"
".Plattsburgh, NY Micro Area","77,871"
".Plymouth, IN Micro Area","46,464"
".Ponca City, OK Micro Area","43,437"
".Pontiac, IL Micro Area","35,375"
".Poplar Bluff, MO Micro Area","41,814"
".Port Angeles, WA Micro Area","77,958"
".Port Lavaca, TX Micro Area","19,942"
".Portsmouth, OH Micro Area","71,798"
".Port Townsend, WA Micro Area","33,944"
".Pottsville, PA Micro Area","144,523"
".Price, UT Micro Area","20,613"
".Pullman, WA Micro Area","48,399"
".Putnam, CT Micro Area","97,701"
".Quincy, IL-MO Micro Area","73,961"
".Raymondville, TX Micro Area","20,027"
".Red Bluff, CA Micro Area","64,451"
".Red Wing, MN Micro Area","47,982"
".Rexburg, ID Micro Area","69,948"
".Rice Lake, WI Micro Area","46,810"
".Richmond, IN Micro Area","66,410"
".Richmond-Berea, KY Micro Area","129,810"
".Rifle, CO Micro Area","79,810"
".Rio Grande City-Roma, TX Micro Area","66,587"
".Riverton, WY Micro Area","39,721"
".Roanoke Rapids, NC Micro Area","63,572"
".Rochelle, IL Micro Area","51,345"
".Rockingham, NC Micro Area","41,990"
".Rock Springs, WY Micro Area","41,273"
".Rolla, MO Micro Area","45,672"
".Roseburg, OR Micro Area","112,255"
".Roswell, NM Micro Area","63,697"
".Ruidoso, NM Micro Area","20,025"
".Russellville, AL Micro Area","31,874"
".Russellville, AR Micro Area","84,963"
".Ruston, LA Micro Area","48,243"
".Rutland, VT Micro Area","60,198"
".Safford, AZ Micro Area","40,242"
".St. Marys, PA Micro Area","30,124"
".Salem, OH Micro Area","99,823"
".Salina, KS Micro Area","59,312"
".Sandpoint, ID Micro Area","53,955"
".Sanford, NC Micro Area","68,537"
".Sault Ste. Marie, MI Micro Area","36,253"
".Sayre, PA Micro Area","59,699"
".Scottsbluff, NE Micro Area","36,399"
".Scottsboro, AL Micro Area","53,780"
".Seaford, DE Micro Area","271,134"
".Searcy, AR Micro Area","79,091"
".Sedalia, MO Micro Area","43,791"
".Selinsgrove, PA Micro Area","39,627"
".Selma, AL Micro Area","35,545"
".Seneca, SC Micro Area","82,475"
".Seneca Falls, NY Micro Area","32,650"
".Sevierville, TN Micro Area","100,184"
".Seymour, IN Micro Area","47,420"
".Shawano, WI Micro Area","45,585"
".Shawnee, OK Micro Area","74,446"
".Shelby-Kings Mountain, NC Micro Area","102,194"
".Shelbyville, TN Micro Area","54,228"
".Shelton, WA Micro Area","69,632"
".Sheridan, WY Micro Area","32,978"
".Show Low, AZ Micro Area","109,516"
".Sidney, OH Micro Area","47,952"
".Sikeston, MO Micro Area","49,707"
".Silver City, NM Micro Area","27,541"
".Snyder, TX Micro Area","16,211"
".Somerset, KY Micro Area","66,842"
".Somerset, PA Micro Area","72,134"
".Sonora, CA Micro Area","53,893"
".Sparta, WI Micro Area","46,370"
".Spearfish, SD Micro Area","28,809"
".Spencer, IA Micro Area","16,474"
".Spirit Lake, IA Micro Area","18,158"
".Starkville, MS Micro Area","62,004"
".Statesboro, GA Micro Area","96,323"
".Steamboat Springs, CO Micro Area","38,385"
".Stephenville, TX Micro Area","44,496"
".Sterling, CO Micro Area","20,755"
".Sterling, IL Micro Area","54,657"
".Stevens Point-Plover, WI Micro Area","72,040"
".Stillwater, OK Micro Area","84,199"
".Storm Lake, IA Micro Area","20,816"
".Sturgis, MI Micro Area","61,171"
".Sulphur Springs, TX Micro Area","38,784"
".Summerville, GA Micro Area","25,306"
".Sunbury, PA Micro Area","108,142"
".Susanville, CA Micro Area","28,340"
".Sweetwater, TX Micro Area","14,182"
".Tahlequah, OK Micro Area","48,729"
".Talladega-Sylacauga, AL Micro Area","91,666"
".Taos, NM Micro Area","34,482"
".Taylorville, IL Micro Area","33,247"
".The Dalles, OR Micro Area","26,507"
".Thomaston, GA Micro Area","28,358"
".Thomasville, GA Micro Area","72,325"
".Tiffin, OH Micro Area","54,730"
".Tifton, GA Micro Area","50,731"
".Toccoa, GA Micro Area","27,498"
".Torrington, CT Micro Area","114,101"
".Town of Pecos, TX Micro Area","11,956"
".Troy, AL Micro Area","33,124"
".Truckee-Grass Valley, CA Micro Area","102,195"
".Tullahoma-Manchester, TN Micro Area","68,058"
".Tupelo, MS Micro Area","132,699"
".Ukiah, CA Micro Area","89,175"
".Union City, TN Micro Area","30,261"
".Urbana, OH Micro Area","38,907"
".Uvalde, TX Micro Area","25,138"
".Van Wert, OH Micro Area","28,887"
".Vermillion, SD Micro Area","15,245"
".Vernal, UT Micro Area","38,307"
".Vernon, TX Micro Area","12,455"
".Vicksburg, MS Micro Area","42,105"
".Vidalia, GA Micro Area","36,054"
".Vincennes, IN Micro Area","35,872"
".Vineyard Haven, MA Micro Area","21,061"
".Wabash, IN Micro Area","30,777"
".Wahpeton, ND-MN Micro Area","22,926"
".Wapakoneta, OH Micro Area","45,922"
".Warren, PA Micro Area","37,373"
".Warrensburg, MO Micro Area","55,880"
".Warsaw, IN Micro Area","80,669"
