org_name.nih,org_city.nih,org_state.nih,lat.nih,lon.nih,org_name.nsf,org_city.nsf,org_state.nsf,lat.nsf,lon.nsf,org_name,org_city,org_state,lat,lon
California State University San Marcos,San Marcos,CA,33.13799,-117.15109,California State University San Marcos Corporation,San Marcos,CA,33.13135,-117.15812,California State University San Marcos,San Marcos,CA,33.13799,-117.15109
Cambridge Health Alliance,Cambridge,MA,42.37442,-71.10444,NA,NA,NA,NA,NA,Cambridge Health Alliance,Cambridge,MA,42.37442,-71.10444
Campesinos Sin Fronteras,Somerton,AZ,32.59632,-114.7127,NA,NA,NA,NA,NA,Campesinos Sin Fronteras,Somerton,AZ,32.59632,-114.7127
NA,NA,NA,NA,NA,Carleton College,Northfield,MN,44.4613,-93.15608,Carleton College,Northfield,MN,44.4613,-93.15608
Carnegie-Mellon University,Pittsburgh,PA,40.44296,-79.94108,Carnegie Mellon University,Pittsburgh,PA,40.4432,-79.94285,Carnegie Mellon University,Pittsburgh,PA,40.44296,-79.94108
Carnegie-Mellon University,Pittsburgh,PA,40.44296,-79.94108,Carnegie Mellon University,Pittsburgh,PA,40.4434,-79.9465,Carnegie Mellon University,Pittsburgh,PA,40.44296,-79.94108
Case Western Reserve University,Cleveland,OH,41.50274,-81.60733,Case Western Reserve University,Cleveland,OH,41.50274,-81.60733,Case Western Reserve University,Cleveland,OH,41.50274,-81.60733
NA,NA,NA,NA,NA,"Cast, Inc..",Lynnfield,MA,42.51229,-71.03422,"Cast, Inc.",Lynnfield,MA,42.51229,-71.03422
Cedars-Sinai Medical Center,Los Angeles,CA,34.07654,-118.38,NA,NA,NA,NA,NA,Cedars-Sinai Medical Center,Los Angeles,CA,34.07654,-118.38
Center for Innovative Public Health Research,San Clemente,CA,33.43004,-117.61655,NA,NA,NA,NA,NA,Center for Innovative Public Health Research,San Clemente,CA,33.43004,-117.61655
Central Michigan University,Mount Pleasant,MI,43.6014,-84.78711,Central Michigan University,Mount Pleasant,MI,43.6014,-84.78711,Central Michigan University,Mount Pleasant,MI,43.6014,-84.78711
NA,NA,NA,NA,NA,Central State University,Wilberforce,OH,39.71698,-83.877440000000007,Central State University,Wilberforce,OH,39.71698,-83.877440000000007
NA,NA,NA,NA,NA,Central Washington University,Ellensburg,WA,47.00259,-120.53815,Central Washington University,Ellensburg,WA,47.00259,-120.53815
NA,NA,NA,NA,NA,Chaminade University of Honolulu,Honolulu,HI,21.2901,-157.80775,Chaminade University of Honolulu,Honolulu,HI,21.2901,-157.80775
NA,NA,NA,NA,NA,ChangeAerial LLC,San Diego,CA,32.77327,-117.19811,ChangeAerial LLC,San Diego,CA,32.77327,-117.19811
NA,NA,NA,NA,NA,Chapman University,Orange,CA,33.79277,-117.85425,Chapman University,Orange,CA,33.79277,-117.85425
Charles R. Drew University of Medicine & Science,Los Angeles,CA,33.92395,-118.24569,NA,NA,NA,NA,NA,Charles R. Drew University of Medicine & Science,Los Angeles,CA,33.92395,-118.24569
Cherokee Nation,Tahlequah,OK,35.85318,-94.99067,NA,NA,NA,NA,NA,Cherokee Nation,Tahlequah,OK,35.85318,-94.99067
NA,NA,NA,NA,NA,Chicago Children's Museum,Chicago,IL,41.89107,-87.61091,Chicago Children's Museum,Chicago,IL,41.89107,-87.61091
NA,NA,NA,NA,NA,Chicago State University,Chicago,IL,41.71798,-87.60944,Chicago State University,Chicago,IL,41.71798,-87.60944
NA,NA,NA,NA,NA,Chico State Enterprises,Chico,CA,39.73179,-121.84154,Chico State Enterprises,Chico,CA,39.73179,-121.84154
NA,NA,NA,NA,NA,Child Trends Inc.,Rockville,MD,39.0591,-77.12012,Child Trends Inc.,Rockville,MD,39.0591,-77.12012
Children's Hospital of Philadelphia,Philadelphia,PA,39.94663,-75.1966,NA,NA,NA,NA,NA,Children's Hospital of Philadelphia,Philadelphia,PA,39.94663,-75.1966
