GEOID,name_geoid,lat,lon
3102,Congressional District 2,41.27446,-96.15333
3102,Congressional District 2,41.24874,-95.97449
0624,Congressional District 24,35.28044,-120.66235
0624,Congressional District 24,34.59685,-120.13988
0624,Congressional District 24,34.42983,-119.72152
0624,Congressional District 24,35.26507,-120.64847
0624,Congressional District 24,35.29887,-120.6588
0624,Congressional District 24,34.42072,-119.72022
0806,Congressional District 6,39.74751,-104.84674
0806,Congressional District 6,39.60807,-104.80406
0806,Congressional District 6,39.74786,-104.84074
0806,Congressional District 6,39.63119,-104.92517
0806,Congressional District 6,39.61871,-104.80685
0806,Congressional District 6,39.60272,-104.73964
0806,Congressional District 6,39.57364,-104.8822
0612,Congressional District 12,37.85651,-122.2298
0612,Congressional District 12,37.80897,-122.23254
0612,Congressional District 12,37.78042,-122.26622
0612,Congressional District 12,37.85132,-122.20956
0612,Congressional District 12,37.8766,-122.25548
0612,Congressional District 12,37.8849,-122.30338
0612,Congressional District 12,37.8587,-122.29041
0612,Congressional District 12,37.84145,-122.29125
0612,Congressional District 12,37.80282,-122.2728
0612,Congressional District 12,37.8774,-122.26861
0612,Congressional District 12,37.81928,-122.26481
0612,Congressional District 12,37.87563,-122.30305
0612,Congressional District 12,37.84642,-122.28398
0612,Congressional District 12,37.84564,-122.297
0612,Congressional District 12,37.82394,-122.23826
0612,Congressional District 12,37.84763,-122.26166
0612,Congressional District 12,37.84308,-122.29072
0612,Congressional District 12,37.87002,-122.26862
0612,Congressional District 12,37.86227,-122.29992
0612,Congressional District 12,37.863,-122.2985
0612,Congressional District 12,37.84907,-122.29237
0612,Congressional District 12,37.83686,-122.26706
0612,Congressional District 12,37.85492,-122.27079
0612,Congressional District 12,37.86498,-122.25477
0612,Congressional District 12,37.87607,-122.301
0615,Congressional District 15,37.51399,-122.34026
0615,Congressional District 15,37.58681,-122.38401
0615,Congressional District 15,37.59039,-122.34167
0615,Congressional District 15,37.65823,-122.40217
0615,Congressional District 15,37.48973,-122.22786
0615,Congressional District 15,37.61541,-122.40836
0615,Congressional District 15,37.66548,-122.38213
0615,Congressional District 15,37.59964,-122.36913
0615,Congressional District 15,37.57654,-122.30889
0615,Congressional District 15,37.47788,-122.14262
0615,Congressional District 15,37.6623,-122.39684
0615,Congressional District 15,37.47608,-122.14133
0615,Congressional District 15,37.66429,-122.38451
0615,Congressional District 15,37.46293,-122.25374
0615,Congressional District 15,37.4803,-122.1845
0615,Congressional District 15,37.60057,-122.37354
0615,Congressional District 15,37.65237,-122.43054
0615,Congressional District 15,37.49451,-122.26978
0615,Congressional District 15,37.56477,-122.34914
0615,Congressional District 15,37.52431,-122.25821
0615,Congressional District 15,37.70594,-122.43708
0615,Congressional District 15,37.54698,-122.33359
0615,Congressional District 15,37.45518,-122.2312
0615,Congressional District 15,37.65588,-122.37763
0615,Congressional District 15,37.56747,-122.32442
0615,Congressional District 15,37.50353,-122.26567
0615,Congressional District 15,37.47688,-122.1975
0615,Congressional District 15,37.67099,-122.42333000000001
0615,Congressional District 15,37.4792,-122.18009
0615,Congressional District 15,37.57371,-122.33971
0615,Congressional District 15,37.51383,-122.32742
0615,Congressional District 15,37.51633,-122.30438
0615,Congressional District 15,37.66232,-122.3966
0615,Congressional District 15,37.5036,-122.24934
0615,Congressional District 15,37.51445,-122.29612
0615,Congressional District 15,37.47457,-122.14792
0615,Congressional District 15,37.68678,-122.4923
0615,Congressional District 15,37.70117,-122.49365
0615,Congressional District 15,37.56396,-122.2537
0615,Congressional District 15,37.47987,-122.18017999999999
0615,Congressional District 15,37.66518,-122.38445
0615,Congressional District 15,37.66547,-122.38217
0615,Congressional District 15,37.65305,-122.40093
0615,Congressional District 15,37.66534,-122.38377
0615,Congressional District 15,37.65106,-122.39257
0615,Congressional District 15,37.48658,-122.18814
0805,Congressional District 5,38.85667,-104.82412
0805,Congressional District 5,38.84247,-104.8212
0805,Congressional District 5,38.90683,-104.82387
0650,Congressional District 50,32.95344,-117.23073
0650,Congressional District 50,32.84939,-117.27243
0650,Congressional District 50,32.89416,-117.23837
0650,Congressional District 50,32.87706,-117.23058
0650,Congressional District 50,33.12364,-117.0316
0650,Congressional District 50,32.87055,-117.22259
0650,Congressional District 50,32.86641,-117.238
0650,Congressional District 50,32.71809,-117.16804
0650,Congressional District 50,32.74003,-117.13045
0650,Congressional District 50,32.90049,-117.23675
0650,Congressional District 50,32.84325,-117.27935
0650,Congressional District 50,33.00668,-117.1085
0650,Congressional District 50,32.82358,-117.26797
