tractid,inst_street_address,org_name,lat,lon
04019004717,6835 N SAINT ANDREWS DR,"MAUI IMAGING, INC.",32.33077,-110.88602
04019004073,9040 S RITA RD STE 1270,"US AIR TECH, LLC",32.0922,-110.80904
04019002906,4703 E CAMP LOWELL DR,Research Corporation for Science Advancement,32.26563,-110.89183
04019004614,,"Horschler, Daniel James",32.3395,-110.98643
04019004726,990 E CALLE DE LA CABRA,Emagine Solutions Technology,32.3142,-110.95632
04019004610,6196 N CORTE SAN BELLA,THERACEA PHARMA LC,32.31939,-111.01535
04019004723,7623 E CAMINO DEL BRIOSO,"NORCON TECHNOLOGIES HOLDING, INC.",32.30316,-110.83023
04019002704,3749 N PLACITA VERGEL,"GOODMAN CONSULTING GROUP, LLC",32.27507,-110.94586
04019004722,4815 N ROCK CANYON RD,LIGHT RESEARCH INC,32.29469,-110.84781
04019004073,9040 S. RITA RD,PARAMIUM TECHNOLOGIES LLC,32.09193,-110.80893
04019004081,13889 E PLACITA PROPIA,SCINTILLATION NANOTECHNOLOGIES LLC,32.07308,-110.6979
04019004109,13575 S SONOITA RANCH CIR,METFORA LLC,32.00671,-110.69486
04013523102,249 E CHICAGO ST STE 126,ENKOAT LLC,33.2999,-111.83826
04013810400,6401 W ORCHID LN,EARTHEN INC.,33.32336,-111.95196
04013421102,,"Torvinen, Andrea",33.43295,-111.84493
04013421400,245 W 2ND ST,NASUS MEDICAL INC.,33.41871,-111.83851
04013422212,2128 S PASEO LOMA,FRESHKUBE INC.,33.37642,-111.88083
04013116718,,"Wissler, Amanda",33.32111,-111.98802
04013116710,13856 SOUTH 36TH WAY,"GLOBAL COOLING TECHNOLOGY GROUP, LLC",33.3205,-112.0081
04013318700,660 S MILL AVENUE STE 204,Arizona State University,33.42386,-111.94107
04013319802,,Monkiewicz              Jacqueline     A,33.38976,-111.93436
04013318900,,"Safa, Maria Dalal",33.41956,-111.94629
04013319909,7700 S RIVER PWY,Regher Solar LLC,33.34646,-111.89878
04013319902,,"Shamloo, Hannah I",33.36841,-111.93436
04013319001,,"Johnson, Aleisha",33.41829,-111.93119
04013319710,2411 W 14TH ST,Maricopa County Community College District,33.41295,-111.97577
04013319902,5501 S COLLEGE AVE,FIRELINE SCIENCE LLC,33.37305,-111.93339
04013319909,7700 S RIVER PKWY,"SOLESTIAL, INC.",33.34646,-111.89878
04013318900,,"Patterson, Samantha",33.41956,-111.94629
04013319600,90 W COTTAGE LN,"PRECIENT TECHNOLOGIES, LLC",33.40535,-111.94147
04013319902,,"Pasha, Mirjeta",33.36841,-111.93436
04013319802,,"Sauer, Jason Robert",33.38976,-111.93436
04013319802,,"DesJardins, Nicole S",33.38976,-111.93436
04013319001,,"Kim, Jisoo",33.41829,-111.93119
04021001200,8470 N OVERFIELD RD,Central Arizona College,32.95956,-111.65271
04005001000,601 S KNOLES DR RM 220,Northern Arizona University,35.19311,-111.65634
04005001500,,"Christie, Kyle",35.08323,-111.66309
04005001201,1400 W MARS HILL RD,Lowell Observatory,35.2026,-111.66421
04005001201,219 E CHERRY AVE,"COCONINO, COUNTY OF",35.19922,-111.64534
04005000200,11 W SILVER SPRUCE AVE,BIODIVERSITY OUTREACH NETWORK,35.21613,-111.64303
04005000200,303 W FIR AVE,BIOTRONIC INNOVATIONS LLC,35.21766,-111.64268
04005001000,,"Kaczmarek, Elska B",35.19054,-111.6534
04021001709,22575 N DIAMOND DR,"LIFESPAN DIGITAL HEALTH, LLC",33.08474,-112.00467
04001944100,1 CIRCLE DR,Dine College,36.29559,-109.22259
04003000902,,"Lopez, Marco Antonio",31.34455,-109.54534
04019940800,86 MILEPOST 115 5N,Tohono O'odham Community College,31.91836,-111.87929
04019000501,845 N PARK AVE RM 538,University of Arizona,32.23273,-110.95714
04019000502,"1718 E. Speedway, #221","REhnu, Inc.",32.23565,-110.94626
04019000100,281 N STONE AVE,Archaeology Southwest,32.22582,-110.972
04019000502,950 N CHERRY AVE,"Association of Universities for Research in Astronomy, Inc.",32.23335,-110.94736
04019001600,,"Medeiros, Lia",32.24381,-110.9447
04019000502,,"Kelemen, Evan Patrick",32.23328,-110.9488
04019001600,,"Miller, Elizabeth Christina",32.24381,-110.9447
04019002703,1700 E FORT LOWELL RD STE 106,Planetary Science Institute,32.26448,-110.94614
04019004339,6549 W IVY MOUNTAIN WAY,BIOSENIX LLC,32.11629,-111.10494
04019000502,,MUTLU                   BURCIN,32.23328,-110.9488
04019000502,,"Smith, Gordon P",32.23328,-110.9488
04019001600,,"Lauterbur, Mary Elise",32.24381,-110.9447
04019004428,,"Vargas, Karla Leonor",32.27087,-111.06989
04019000502,,"Godfrey, Rebekah Keating",32.23328,-110.9488
04019004508,,"Warman, Cedar Dale",32.27452,-110.98643
04019000700,245 SOUTH PLUMER AVE UNIT # 7,"ZelosDx, Inc.",32.21896,-110.93856
04019001600,,"Bernal, Jacob J",32.24381,-110.9447
04019000502,,"Davison, Dinah R",32.23328,-110.9488
04019001600,,"Phillips, Tristan",32.24381,-110.9447
04019000502,,"Fairbanks, Dawson E",32.23328,-110.9488
04019000502,,"Payne, Natalie",32.23328,-110.9488
04019001700,2820 E FORT LOWELL RD,"MEDICARBONE, INC.",32.26459,-110.93015
04019004075,1638 S RESEARCH LOOP STE 160,FRINGE METROLOGY LLC,32.20113,-110.82508
04019000502,,"Edwards, Julie",32.23328,-110.9488
05007020504,1 COLLEGE DR,NorthWest Arkansas Community College,36.35865,-94.17241
05007020501,900 SE 5TH ST STE 22F,"CONNECT DYNAMICS, INC.",36.36684,-94.19917
05007021304,4706 SW BEDINGFIELD ST,"SABER THERAPEUTICS, INC.",36.32616,-94.24235
05143011106,249 ALEXANDRA LOOP,CatalyzeH2O LLC,35.99556,-94.01127
05143011301,1125 W MAPLE ST STE 316,University of Arkansas,36.06996,-94.17695
05143011105,535 W RESEARCH CENTER BLVD,"Zebra Analytix, Inc.",36.04231,-94.16809
05143011105,700 W RESEARCH CENTER BLVD,"Lapovations, LLC",36.04372,-94.16977
05143010405,5112 VALHALLA ST,"AMBOTS, INC.",36.1396,-94.15033
05143010514,,"Chafin, Tyler K",36.11974,-94.33596
05143011105,700 W RESEARCH CENTER BLVD,"Nanomatronix, LLC",36.04372,-94.16977
05143011302,123 W MOUNTAIN ST,CELLUDOT LLC,36.06172,-94.16137
05143011105,534 W RESEARCH CENTER BLVD,SIEV TECHNOLOGIES LLC,36.04301,-94.16796
05143010602,1371 W ALTHEIMER DR,University of Arkansas Agricultural Experiment Station,36.09781,-94.17842
05143011105,535 W RESEARCH CENTER BLVD STE 135,"FILTRAVATE, INC.",36.04228,-94.16816
05143011107,,"Ramey, Michelle M",35.99809,-94.08999
05063490300,2005 WHITE DR,UNIVERSITY OF ARKANSAS SYSTEM,35.79327,-91.61645
05009790600,1515 PIONEER DR,North Arkansas College,36.22097,-93.08875
05107480202,1000 CAMPUS DR,Phillips Community College of the University of Arkansas,34.55198,-90.76717
05031000602,2105 AGGIE ROAD,Arkansas State University Main Campus,35.84147,-90.68058
05031000701,2208 DUNCAN ROAD,"SEMEN AND EMBRYO ADVANCED REPRODUCTIVE TECHNOLOGIES (SMART), LLC",35.86862,-90.72142
05067480402,7648 VICTORY BLVD,Arkansas State University - Newport,35.64042,-91.19066
05019953602,410 OUACHITA ST,Ouachita Baptist University,34.12502,-93.0527
05133080300,183 HIGHWAY 399,Cossatot Technical College,34.04188,-94.36461
05139950800,300 S WEST AVE,SOUTH ARKANSAS COMMUNITY COLLEGE,33.20945,-92.66656
05051011002,101 COLLEGE DR,National Park Community College,34.5125,-93.11838
05069000502,1200 UNIVERSITY DR STOP 4984,University of Arkansas at Pine Bluff,34.24078,-92.01971
05115951400,1509 N BOULDER AVE,Arkansas Tech University,35.29319,-93.1357
05141460304,267 FAYES FOREST RD,"SOLARID AR, LLC.",35.58172,-92.43314
05045030800,201 DONAGHEY AVE,University of Central Arkansas,35.08025,-92.46002
05045030701,1600 WASHINGTON AVE,Hendrix College,35.09952,-92.44049
05119980200,4301 W MARKHAM ST,University of Arkansas Medical Sciences Campus,34.74908,-92.32044
05119001502,1 COMMERCE WAY STE 601,Arkansas Science & Technology Authority,34.76481,-92.30274
05119002102,2801 S UNIVERSITY AVE,University of Arkansas Little Rock,34.72264,-92.33986
05119004500,13 CHILDREN'S WAY,Arkansas Childrens Hospital Research Institute,34.7427,-92.29293
05119004700,1501 S MAIN STREET,ARKANSAS RESEARCH ALLIANCE,34.73399,-92.27282
05119003707,6732 AUSTIN BAY CT,"TORRE SPACE AND POWER SYSTEMS, L.L.C.",34.83921,-92.18438
05145070801,915 E MARKET AVE,Harding University Main Campus,35.24904,-91.72685
06071010419,61313 ONAGA TRAIL,"HARDSHELL LABS, INC.",34.11304,-116.32638
06071010039,18422 BEAR VALLEY RD,Victor Valley College,34.47474,-117.26221
06037400801,901 E ALOSTA AVE,Azusa Pacific University,34.13032,-117.88923
06037403801,738 ARROW GRAND CIR,Power Environmental Energy Research Institute,34.10339,-117.8761
06037430102,1500 DUARTE RD,Beckman Research Institute City of Hope,34.13108,-117.972
06037400801,1000 W FOOTHILL BLVD,Citrus Community College District,34.13554,-117.88496
06037401500,1950 3RD ST,University of La Verne,34.10077,-117.77321
06037401500,,"Wimberly, Maria Kathleen Rodriguez",34.10084,-117.76784
06037431100,142 W OLIVE AVE,"PHOTON SPOT, INC.",34.1446,-118.00262
06037543321,1000 E VICTORIA ST,California State University-Dominguez Hills Foundation,33.86339,-118.25441
06037980002,2226 E 223RD ST,GRAYMATTER ROBOTICS INC.,33.82361,-118.23484
