FIPS,name,state,account_name,raw_funding,econ_impact,jobs
05149,Yell County,AR,OIA,11377.06558213374,30035.453136833075,0.1580147997518575
05149,Yell County,AR,OISE,123.70037739192247,326.56899631467536,0.0017180607971100344
05149,Yell County,AR,OPP,2104.365326913981,5555.52446305291,0.029227296207138622
05149,Yell County,AR,SBE,684.4681237986514,1806.9958468284397,0.009506501719425714
05149,Yell County,AR,TIP,12483.904718021384,32957.508455576455,0.17338756552807477
06001,Alameda County,CA,BIO,9879751.854832172,26082544.896756936,137.21877576155794
06001,Alameda County,CA,CSE,10504910.82817135,27732964.586372364,145.90153928015764
06001,Alameda County,CA,EDU,22670510.87362298,59850148.70636467,314.86820657809693
06001,Alameda County,CA,ENG,8512460.889952226,22472896.749473877,118.22862347155869
06001,Alameda County,CA,GEO,5965657.804322619,15749336.603411715,82.8563583933697
06001,Alameda County,CA,MPS,25141412.425829343,66373328.80418947,349.1862836920742
06001,Alameda County,CA,OIA,444408.78541822283,1173239.1935041083,6.172344241919761
06001,Alameda County,CA,OISE,1016147.7042343759,2682629.9391787522,14.113162558810776
06001,Alameda County,CA,OPP,1480496.1520925465,3908509.841524323,20.56244655684092
06001,Alameda County,CA,SBE,3202583.018716048,8454819.169410367,44.48031970438956
06001,Alameda County,CA,TIP,15725379.070588268,41515000.74635303,218.4080426470593
06003,Alpine County,CA,BIO,2171.727117294963,5733.359589658703,0.03016287662909671
06003,Alpine County,CA,CSE,1096.1317898843963,2893.7879252948064,0.015224052637283282
06003,Alpine County,CA,EDU,1735.6617535235298,4582.147029302118,0.02410641324338236
06003,Alpine County,CA,ENG,1842.0790806939592,4863.088773032053,0.02558443167630499
06003,Alpine County,CA,GEO,7623.856634251006,20126.981514422656,0.10588689769793064
06003,Alpine County,CA,MPS,1526.518128509451,4030.0078592649506,0.021201640673742375
06003,Alpine County,CA,OIA,3306.835154745225,8730.044808527395,0.04592826603812812
06003,Alpine County,CA,OISE,45.1942567015585,119.31283769211444,6.27698009743868e-4
06003,Alpine County,CA,OPP,355.863339673744,939.4792167386843,0.004942546384357555
06003,Alpine County,CA,SBE,327.27655390522506,864.0101023097942,0.004545507693128126
06003,Alpine County,CA,TIP,4540.712842935514,11987.481905349758,0.06306545615188214
06005,Amador County,CA,BIO,110815.18716861012,292552.09412513074,1.5390998217862517
