state,account_name,raw_funding,econ_impact,jobs
KS,TIP,4791509.191761348,12649584.26624996,66.54873877446317
KY,BIO,6089846.637880748,16077195.124005174,84.58120330389927
KY,CSE,6606302.60339049,17440638.872950893,91.7542028248679
KY,EDU,7091183.1254610475,18720723.451217167,98.48865452029233
KY,ENG,5685383.677692725,15009412.909108795,78.96366219017673
KY,GEO,1178160.7849181078,3110344.472183805,16.363344234973717
KY,MPS,5331371.932597736,14074821.902058022,74.04683239719077
KY,OIA,24747537.28304521,65333498.42723936,343.71579559785016
KY,OISE,137105.6570691318,361958.9346625079,1.9042452370712746
KY,OPP,468795.13853504,1237619.1657325057,6.511043590764445
KY,SBE,1027253.6222811232,2711949.562822165,14.267411420571154
KY,TIP,3254096.7459328854,8590815.409262817,45.19578813795674
LA,BIO,8186848.22015089,21613279.30119835,113.70622527987345
LA,CSE,3675264.8459043144,9702699.193187391,51.045345082004374
LA,EDU,7694202.475765191,20312694.536020108,106.86392327451655
LA,ENG,5931838.108245962,15660052.605769342,82.38664039230504
LA,GEO,4389032.8610812165,11587046.753254412,60.958789737239115
LA,MPS,13748620.21124775,36296357.35769406,190.95305848955206
LA,OIA,38129473.353462815,100661809.65314183,529.5760187980945
LA,OISE,588414.4426360036,1553414.12855905,8.17242281438894
LA,OPP,973042.5816463487,2568832.4155463604,13.51448030064373
LA,SBE,1483704.5549949552,3916980.0251866817,20.607007708263264
LA,TIP,11599740.323498344,30623314.45403563,161.10750449303256
MA,BIO,40429983.57004081,106735156.62490772,561.5275495839
MA,CSE,72529274.57204726,191477284.87020478,1007.3510357228785
MA,EDU,86924536.71224716,229480776.92033252,1207.2852321145438
MA,ENG,51469428.69600898,135879291.7574637,714.8531763334579
MA,GEO,168383790.9200303,444533208.02888,2338.6637627781984
MA,MPS,86204544.09971313,227579996.4232427,1197.285334718238
MA,OIA,5124118.726907041,13527673.439034589,71.16831565148671
MA,OISE,1785696.4969478669,4714238.751942368,24.801340235387045
MA,OPP,26959108.097148806,71172045.37647285,374.4320569048445
MA,SBE,34103415.04114958,90033015.7086349,473.6585422381886
MA,TIP,48304033.614899546,127522648.74333481,670.8893557624936
MD,BIO,21003632.724152673,55449590.39176306,291.71712116878706
MD,CSE,39505364.2160576,104294161.53039207,548.685614111911
MD,EDU,45299094.732572764,119589610.09399211,629.1540935079552
MD,ENG,28132931.640902687,74270939.5319831,390.73516167920405
MD,GEO,35207595.769984245,92948052.83275843,488.9943856942257
MD,MPS,54772578.52088212,144599607.2951288,760.7302572344739
MD,OIA,8592157.939157292,22683296.959375255,119.33552693274017
MD,OISE,4592316.842299374,12123716.46367035,63.78217836526909
MD,OPP,13032017.550326088,34404526.33286088,181.00024375452898
MD,SBE,19352619.16485273,51090914.5952112,268.7863772896212
MD,TIP,25081592.61058534,66215404.4919453,348.3554529247964
ME,BIO,2833532.857536217,7480526.743895614,39.35462302133635
ME,CSE,1225280.3997119751,3234740.2552396148,17.01778332933299
ME,EDU,7292791.308418336,19252969.05422441,101.28876817247689
ME,ENG,1350198.6739708697,3564524.4992830963,18.752759360706523
ME,GEO,5956374.905855086,15724829.751457427,82.7274292479873
ME,MPS,1935599.00012674,5109981.360334594,26.883319446204723
ME,OIA,33682109.224520534,88920768.35273421,467.80707256278515
ME,OISE,591706.4623124509,1562105.0605048703,8.218145309895151
ME,OPP,2756857.175510961,7278102.943348939,38.2896829932078
ME,SBE,560731.4367241007,1480330.992951626,7.7879366211680665
ME,TIP,2801985.1852550358,7397240.8890732955,38.91646090631994
MI,BIO,31118477.692236446,82152781.10750423,432.20107905883964
MI,CSE,28779105.115740284,75976837.50555435,399.7097932741706
MI,EDU,39133761.17765701,103313129.50901452,543.5244608007918
MI,ENG,39955308.15011332,105482013.51629916,554.9348354182405
MI,GEO,13956802.817737522,36845959.43882706,193.84448357968782
MI,MPS,62469901.08302131,164920538.85917628,867.6375150419626
MI,OIA,970390.7649105814,2561831.6193639357,13.477649512646964
MI,OISE,3230056.3905103668,8527348.870947368,44.86189431264399
MI,OPP,2406622.049160839,6353482.209784616,33.425306238344994
MI,SBE,27898375.386381637,73651711.02004755,387.4774359219671
MI,TIP,19965092.35837417,52707843.82610781,277.2929494218635
MN,BIO,15102030.819478935,39869361.36342438,209.75042804831853
MN,CSE,10620868.156137682,28039091.93220348,147.5120577241345
MN,EDU,19059700.31984083,50317608.8443798,264.7180599977893
MN,ENG,18328973.945783876,48388491.21686943,254.5690825803316
MN,GEO,11725112.273100201,30954296.40098453,162.8487815708361
MN,MPS,21419289.1690357,56546923.406254254,297.49012734771804
MN,OIA,7226130.832747279,19076985.398452822,100.36292823260109
MN,OISE,598214.2069844047,1579285.5064388285,8.308530652561178
MN,OPP,10633661.680689326,28072866.83701982,147.68974556512953
MN,SBE,5187120.616885883,13693998.428578734,72.04334190119282
MN,TIP,10304109.663054926,27202849.510465007,143.11263420909623
MO,BIO,19925299.025498156,52602789.42731514,276.74026424302997
MO,CSE,9567296.974079182,25257664.011569045,132.87912463998865
MO,EDU,13560805.155931363,35800525.611658804,188.34451605460228
MO,ENG,12316357.423418468,32515183.59782476,171.06051976970093
MO,GEO,3581162.176648311,9454268.14635154,49.73836356455987
MO,MPS,10631914.052358078,28068253.098225325,147.66547294941776
MO,OIA,5268698.987437693,13909365.326835513,73.17637482552354
MO,OISE,355114.3769886283,937501.9552499787,4.93214412484206
MO,OPP,697037.5228331625,1840179.0602795486,9.681076706016144
MO,SBE,4487546.9634210095,11847123.983431466,62.327041158625136
MO,TIP,10376102.247439433,27392909.9332401,144.1125312144366
MP,BIO,0,0,0
MP,CSE,0,0,0
MP,EDU,0,0,0
MP,ENG,0,0,0
MP,GEO,0,0,0
MP,MPS,0,0,0
MP,OIA,0,0,0
MP,OISE,0,0,0
MP,OPP,0,0,0
MP,SBE,0,0,0
MP,TIP,196497.89078702452,518754.4316777447,2.729137372042007
MS,BIO,3643991.6546085672,9620137.968166616,50.61099520289677
MS,CSE,2447765.842758368,6462101.824882093,33.996747816088444
MS,EDU,7050892.329936707,18614355.751032908,97.92906013800982
MS,ENG,2432594.631995312,6422049.828467624,33.78603655549044
MS,GEO,1531891.6069036126,4044193.842225537,21.276272318105732
MS,MPS,6381875.643236097,16848151.698143296,88.63716171161245
MS,OIA,17700911.75677043,46730407.03787393,245.84599662181145
MS,OISE,115291.0547016897,304368.3844124608,1.601264648634579
MS,OPP,1003509.8758519172,2649266.0722490614,13.937637164609962
MS,SBE,949462.6081006158,2506581.285385626,13.186980668064109
MS,TIP,4212403.90645282,11120746.313035443,58.50560981184472
MT,BIO,6011048.977124689,15869169.299609179,83.48679134895401
MT,CSE,918695.4677879872,2425356.034960286,12.759659274833155
MT,EDU,9424403.927777406,24880426.36933235,130.8944989969084
MT,ENG,4985234.254643851,13161018.432259766,69.23936464783127
MT,GEO,3796758.6855535596,10023442.929861398,52.732759521577215
MT,MPS,7812538.8975297175,20625102.689478453,108.50748468791275
MT,OIA,15034349.844992982,39690683.59078147,208.81041451379144
MT,OISE,279760.04815701465,738566.5271345186,3.8855562244029813
MT,OPP,3343037.9017926594,8825620.060732622,46.43108196934249
MT,SBE,333607.71978984535,880724.3802451917,4.633440552636741
MT,TIP,4535581.33357328,11973934.720633458,62.994185188517775
NC,BIO,27122346.991139345,71602996.05660787,376.69926376582424
NC,CSE,34483654.72210553,91036848.4663586,478.9396489181323
NC,EDU,50325844.732621096,132860230.0941197,698.9700657308487
NC,ENG,31928415.510016736,84291016.9464442,443.45021541689914
NC,GEO,14513018.267522933,38314368.226260535,201.5696981600407
NC,MPS,44067887.62344519,116339223.32589532,612.0539947700722
NC,OIA,1210574.2893133124,3195916.123787145,16.81353179601823
NC,OISE,2270191.2279267525,5993304.841726625,31.530433721204894
NC,OPP,2016715.1035998994,5324127.873503733,28.009931994443047
NC,SBE,10550896.570737688,27854366.9467475,146.5402301491346
NC,TIP,26209639.80474883,69193449.08453691,364.0227750659559
ND,BIO,2152110.004287347,5681570.411318596,29.890416726213157
ND,CSE,386355.2859674049,1019977.954953949,5.366045638436179
ND,EDU,6486617.2241654815,17124669.47179687,90.09190589118724
ND,ENG,1296592.4266376523,3423004.0063234023,18.00822814774517
ND,GEO,409160.13128114806,1080182.746582231,5.682779601127057
ND,MPS,1171708.4945009502,3093310.4254825087,16.273729090290974
ND,OIA,19390118.493090764,51189912.82175962,269.3072012929273
ND,OISE,133905.22876402762,353509.80393703294,1.859794843944828
ND,OPP,5688.116120421198,15016.626557911963,0.07900161278362774
ND,SBE,317652.66794887924,838603.0433850413,4.4118426104011
ND,TIP,6403848.157495218,16906159.13578738,88.94233552076692
NE,BIO,5752001.520268121,15185284.01350784,79.8889100037239
NE,CSE,3814305.899705808,10069767.575223334,52.97647082924733
NE,EDU,7617716.537900062,20110771.660056166,105.8016185819453
NE,ENG,6157624.211088646,16256127.917274028,85.52255848734231
NE,GEO,1287221.177143791,3398263.9076596084,17.878071904774878
NE,MPS,11197271.263667228,29560796.136081487,155.51765643982262
NE,OIA,24479746.72002835,64626531.340874836,339.9964822226159
NE,OISE,621242.3107024635,1640079.7002545034,8.628365426423104
NE,OPP,484664.3442910649,1279513.8689284113,6.731449226264791
NE,SBE,1150388.4210501967,3037025.4315725192,15.977616959030511
NE,TIP,1031797.7734697266,2723946.1219600784,14.33052463152398
NH,BIO,3134570.896565485,8275267.166932881,43.53570689674285
NH,CSE,4248570.828337763,11216226.986811696,59.007928171357825
NH,EDU,5768600.89097451,15229106.35217271,80.11945681909043
NH,ENG,3152960.2113417843,8323814.957942311,43.79111404641367
NH,GEO,7016323.469326942,18523093.959023125,97.44893707398532
NH,MPS,5016742.696088487,13244200.717673607,69.67698189011787
NH,OIA,15555999.035691988,41067837.45422685,216.05554216238872
NH,OISE,327847.3004803567,865516.8732681416,4.553434728893842
