"CBSA_FIPS","CBSA_NAME","state_name","state","budg_NIH_cuts","econ_budg_NIH_cuts","jobs_budg_NIH_cuts"
"29073","Gasconade County, MO","Missouri","MO",9228.52992463399,21698.1873525574,0.0793653573518523
"29075","Gentry County, MO","Missouri","MO",31156.6750356924,73255.8032241538,0.267947405306955
"44180","Greene County, MO","Missouri","MO",616209.125626201,1448835.42290981,5.29939848038533
"29079","Grundy County, MO","Missouri","MO",80276.7573351565,188747.301567979,0.690380113082346
"29081","Harrison County, MO","Missouri","MO",17340.6394868535,40771.4389476636,0.14912949958694
"29083","Henry County, MO","Missouri","MO",21167.0008980674,49768.008006566,0.18203620772338
"29085","Hickory County, MO","Missouri","MO",6955.70996108403,16354.3163578826,0.0598191056653226
"29087","Holt County, MO","Missouri","MO",12976.6152572192,30510.7131203635,0.111598891212085
"17860","Howard County, MO","Missouri","MO",119490.318200362,280946.513941221,1.02761673652312
"48460","Howell County, MO","Missouri","MO",28827.7232048448,67779.9545707382,0.247918419561666
"29093","Iron County, MO","Missouri","MO",10358.1254118504,24354.1005602287,0.0890798785419133
"28140","Jackson County, MO","Missouri","MO",6416375.36152309,15086228.8853859,55.1808281090986
"27900","Jasper County, MO","Missouri","MO",560300.441653391,1317382.51444182,4.81858379821917
"41180","Jefferson County, MO","Missouri","MO",6749320.45879041,15869051.8439307,58.0441559455975
"47660","Johnson County, MO","Missouri","MO",70419.1050455524,165569.917089305,0.60560430339175
"29103","Knox County, MO","Missouri","MO",6885.24695574998,16188.6432221125,0.0592131238194499
"30060","Laclede County, MO","Missouri","MO",292897.941024185,688663.790595353,2.51892229280799
"28140","Lafayette County, MO","Missouri","MO",57521.7024883804,135245.449451197,0.494686641400071
"29109","Lawrence County, MO","Missouri","MO",238717.302849891,561273.876103247,2.05296880450906
"39500","Lewis County, MO","Missouri","MO",21418.3649762343,50359.0170736991,0.184197938795615
"41180","Lincoln County, MO","Missouri","MO",492646.914557365,1158315.04454367,4.23676346519334
"29115","Linn County, MO","Missouri","MO",10020.2286801093,23559.6352823339,0.08617396664894
"29117","Livingston County, MO","Missouri","MO",12827.1323470005,30159.2478037399,0.110313338184204
"29119","McDonald County, MO","Missouri","MO",429547.753272896,1009955.83299851,3.69411067814691
"29121","Macon County, MO","Missouri","MO",14017.80088936,32958.7564273129,0.120553087648496
"29123","Madison County, MO","Missouri","MO",12520.6385026208,29438.6172252981,0.107677491122539
"29125","Maries County, MO","Missouri","MO",14033.2745538596,32995.1382209555,0.120686161163193
"25300","Marion County, MO","Missouri","MO",447166.638760998,1051381.48598833,3.84563309334458
"29129","Mercer County, MO","Missouri","MO",3986.98488992032,9374.2281619938,0.0342880700533147
"29131","Miller County, MO","Missouri","MO",258486.189269322,607754.627076947,2.22298122771617
"43460","Mississippi County, MO","Missouri","MO",219535.714854419,516173.985498317,1.888007147748
"27620","Moniteau County, MO","Missouri","MO",23016.1551756744,54115.7531281586,0.1979389345108
"29137","Monroe County, MO","Missouri","MO",25605.6536696509,60204.2010099263,0.220208621558998
"29139","Montgomery County, MO","Missouri","MO",251346.960986176,590968.821092086,2.16158386448111
"29141","Morgan County, MO","Missouri","MO",41836.3827348717,98366.0104207278,0.359792891519897
"29143","New Madrid County, MO","Missouri","MO",32115.1790923696,75509.4450034856,0.276190540194379
"27900","Newton County, MO","Missouri","MO",42349.7857077173,99573.127261995,0.364208157086369
"32340","Nodaway County, MO","Missouri","MO",29427.7966231311,69190.8516000158,0.253079050958928
"29149","Oregon County, MO","Missouri","MO",7064.59320245964,16610.3234348728,0.0607555015411529
"27620","Osage County, MO","Missouri","MO",17298.3684028244,40672.0508643666,0.14876596826429
"29153","Ozark County, MO","Missouri","MO",8351.9433953802,19637.1506654784,0.0718267132002697
"29155","Pemiscot County, MO","Missouri","MO",7559.37360758526,17773.6547581134,0.0650106130252332
"29157","Perry County, MO","Missouri","MO",23869.5233195682,56122.1985770144,0.205277900548286
"42740","Pettis County, MO","Missouri","MO",79259.1573614618,186354.713034431,0.681628753308571
"40620","Phelps County, MO","Missouri","MO",133652.626999625,314245.038427868,1.14941259219678
"29163","Pike County, MO","Missouri","MO",53704.016838411,126269.278905866,0.461854544810335
"28140","Platte County, MO","Missouri","MO",880349.955194034,2069885.2817962,7.57100961466869
"44180","Polk County, MO","Missouri","MO",15450.1435985757,36326.491127362,0.132871234947751
"22780","Pulaski County, MO","Missouri","MO",86682.226423301,203807.887543279,0.745467147240389
"29171","Putnam County, MO","Missouri","MO",551.375213142138,1296.39745160049,0.00474182683302239
"25300","Ralls County, MO","Missouri","MO",10131.7297260472,23821.7973606416,0.0871328756440061
"33620","Randolph County, MO","Missouri","MO",164060.325937163,385739.843547982,1.4109188030596
"28140","Ray County, MO","Missouri","MO",33039.8585918033,77683.5582353475,0.284142783889508
"29179","Reynolds County, MO","Missouri","MO",10807.6002522414,25410.9091068459,0.0929453621692764
"29181","Ripley County, MO","Missouri","MO",5415.31888611027,12732.5375465284,0.0465717424205483
"41180","St. Charles County, MO","Missouri","MO",10467397.492422,24611021.8787929,90.0196184348293
"29185","St. Clair County, MO","Missouri","MO",210552.485855268,495052.55148376,1.8107513783553
"29186","Ste. Genevieve County, MO","Missouri","MO",8806.95068913882,20706.9671570955,0.0757397759265938
"22100","St. Francois County, MO","Missouri","MO",256277.22073792,602560.884038597,2.20398409834611
"41180","St. Louis County, MO","Missouri","MO",71762152.5868257,168727700.334516,617.154512246701
"32180","Saline County, MO","Missouri","MO",280844.419005338,660323.46107819,2.41526200344591
"28860","Schuyler County, MO","Missouri","MO",5662.41264810926,13313.5062149174,0.0486967487737397
"29199","Scotland County, MO","Missouri","MO",564.178946518471,1326.50168357251,0.00485193894005885
"43460","Scott County, MO","Missouri","MO",225187.004909584,529461.340190996,1.93660824222242
"29203","Shannon County, MO","Missouri","MO",4850.24568808194,11403.9332922367,0.0417121129175047
"29205","Shelby County, MO","Missouri","MO",5347.46956790592,12573.0097311381,0.0459882382839909
"29207","Stoddard County, MO","Missouri","MO",15335.4784204365,36056.8895181786,0.131885114415754
"29209","Stone County, MO","Missouri","MO",28730.8310426816,67552.14100728,0.247085146967062
"29211","Sullivan County, MO","Missouri","MO",4677.40693828949,10997.5535540329,0.0402256996692896
"14700","Taney County, MO","Missouri","MO",240636.669952777,565786.706135425,2.06947536159388
"29215","Texas County, MO","Missouri","MO",11369.164626872,26731.2633897887,0.0977748157910995
"29217","Vernon County, MO","Missouri","MO",15275.810645765,35916.5982080452,0.131371971553579
"41180","Warren County, MO","Missouri","MO",484371.16522557,1138857.04192023,4.1655920209399
"29221","Washington County, MO","Missouri","MO",29120.7461739414,68468.9123282558,0.250438417095896
"29223","Wayne County, MO","Missouri","MO",4736.54596592923,11136.601670261,0.0407342953069914
"44180","Webster County, MO","Missouri","MO",235755.761862088,554310.679176932,2.02749955201396
"29227","Worth County, MO","Missouri","MO",3752.59082157337,8823.11910661282,0.032272281065531
"29229","Wright County, MO","Missouri","MO",5752.5539053322,13525.4470010872,0.049471963585857
"41180","St. Louis city, MO","Missouri","MO",35547340.8822446,83579169.0168635,305.707131587303
"30001","Beaverhead County, MT","Montana","MT",28312.4683877221,74749.419520666,0.260474709167044
"30003","Big Horn County, MT","Montana","MT",13020.1599370082,34375.2930344868,0.119785471420475
"30005","Blaine County, MT","Montana","MT",79123.700848005,208899.154525151,0.727938047801646
"25740","Broadwater County, MT","Montana","MT",9196.58589865999,24280.4494501401,0.084608590267672
"13740","Carbon County, MT","Montana","MT",7664.00800630177,20234.2000643514,0.0705088736579763
"30011","Carter County, MT","Montana","MT",118.280533589135,312.279420688611,0.00108818090902004
"24500","Cascade County, MT","Montana","MT",324847.424991149,857648.867571065,2.98859630991857
"30015","Chouteau County, MT","Montana","MT",11997.2397951833,31674.6211689929,0.110374606115686
"30017","Custer County, MT","Montana","MT",11344.9331587866,29952.4279023233,0.104373385060837
"30019","Daniels County, MT","Montana","MT",1141.32132496802,3013.26982019389,0.0105001561897057
"30021","Dawson County, MT","Montana","MT",7846.49818179528,20716.0031519366,0.0721877832725166
"30023","Deer Lodge County, MT","Montana","MT",45536.6410087334,120223.974671169,0.418937097280348
"30025","Fallon County, MT","Montana","MT",1195.46790662889,3156.22540756098,0.0109983047409858
"30027","Fergus County, MT","Montana","MT",14235.5192387109,37584.034888684,0.13096677699614
"28060","Flathead County, MT","Montana","MT",170910.88346423,451231.914991049,1.57238012787092
"14580","Gallatin County, MT","Montana","MT",2906779.75877346,7674360.87405797,26.7423737807158
"30033","Garfield County, MT","Montana","MT",310.814283459022,820.599142015072,0.002859491407823
"30035","Glacier County, MT","Montana","MT",61259.3550662114,161734.440413377,0.563586066609145
"30037","Golden Valley County, MT","Montana","MT",178.432684999982,471.090667355818,0.00164158070199984
"30039","Granite County, MT","Montana","MT",4436.44678300025,11712.9251050186,0.0408153104036023
"30041","Hill County, MT","Montana","MT",22033.2772196684,58171.3561584883,0.202706150420949
"25740","Jefferson County, MT","Montana","MT",65049.5322865332,171741.111086513,0.598455697036105
"30045","Judith Basin County, MT","Montana","MT",1104.26766334436,2915.44226028092,0.0101592625027681
"30047","Lake County, MT","Montana","MT",80563.6834805394,212700.937698124,0.741185888020962
"25740","Lewis and Clark County, MT","Montana","MT",321727.528046262,849411.843430291,2.95989325802561
"30051","Liberty County, MT","Montana","MT",833.933958159415,2201.71828317237,0.00767219241506662
"30053","Lincoln County, MT","Montana","MT",47260.2890137479,124774.679543255,0.43479465892648
"30055","McCone County, MT","Montana","MT",6356.88351250159,16783.1835081553,0.0584833283150146
"30057","Madison County, MT","Montana","MT",21926.1519830886,57888.5284961066,0.201720598244415
"30059","Meagher County, MT","Montana","MT",13550.0740251201,35774.3505076729,0.124660681031105
"33540","Mineral County, MT","Montana","MT",23102.1023973289,60993.2246195881,0.212539342055426
"33540","Missoula County, MT","Montana","MT",2244256.13903921,5925193.14640969,20.6471564791607
"30065","Musselshell County, MT","Montana","MT",8203.82236054241,21659.3958147124,0.0754751657169901
"30067","Park County, MT","Montana","MT",122574.461230973,323616.072593902,1.12768504332496
