"FIPS","state_name","state","name","budg_NIH_cuts","econ_budg_NIH_cuts","jobs_budg_NIH_cuts"
"04007","Arizona","AZ","Gila County",131828.003724511,387217.787822386,1.34464563799001
"04009","Arizona","AZ","Graham County",148135.210327979,435116.870628444,1.51097914534539
"04011","Arizona","AZ","Greenlee County",21138.6228178675,62090.3793874607,0.215613952742248
"04012","Arizona","AZ","La Paz County",13297.7203363825,39059.3326626959,0.135636747431101
"04013","Arizona","AZ","Maricopa County",25019359.1848385,73489248.4341364,255.197463685352
"04015","Arizona","AZ","Mohave County",168379.201733694,494579.453291819,1.71746785768368
"04017","Arizona","AZ","Navajo County",242661.752040092,712769.24598228,2.47514987080894
"04019","Arizona","AZ","Pima County",33473903.6874724,98322743.0397074,341.433817612219
"04021","Arizona","AZ","Pinal County",1539798.06427566,4522841.7581746,15.7059402556118
"04023","Arizona","AZ","Santa Cruz County",264888.370558946,778055.390128318,2.70186137970125
"04025","Arizona","AZ","Yavapai County",397837.33722356,1168565.77722881,4.05794083968031
"04027","Arizona","AZ","Yuma County",396538.881871765,1164751.8303078,4.044696595092
"05001","Arkansas","AR","Arkansas County",25687.5331080891,72102.991672758,0.226050291351184
"05003","Arkansas","AR","Ashley County",13111.2036074923,36802.1717209253,0.115378591745932
"05005","Arkansas","AR","Baxter County",44670.1360030215,125385.743765039,0.39309719682659
"05007","Arkansas","AR","Benton County",332079.58869235,932122.665007383,2.92230038049268
"05009","Arkansas","AR","Boone County",40554.2349779221,113832.71622869,0.356877267805714
"05011","Arkansas","AR","Bradley County",13334.5507128783,37429.0904060329,0.117344046273329
"05013","Arkansas","AR","Calhoun County",5826.91531869198,16355.7171852057,0.0512768548044894
"05015","Arkansas","AR","Carroll County",20844.8120339106,58509.8344078813,0.183434345898413
"05017","Arkansas","AR","Chicot County",10917.7462364171,30645.3002963439,0.0960761668804704
"05019","Arkansas","AR","Clark County",56254.8766047555,157903.247552698,0.495042914121849
"05021","Arkansas","AR","Clay County",20360.8852418468,57151.487955866,0.179175790128252
"05023","Arkansas","AR","Cleburne County",25409.9011022614,71323.6993164211,0.223607129699901
"05025","Arkansas","AR","Cleveland County",12699.7163999646,35647.1577858397,0.111757504319688
"05027","Arkansas","AR","Columbia County",21723.7484492872,60976.943443697,0.191168986353727
"05029","Arkansas","AR","Conway County",57930.4333543098,162606.410517082,0.509787813517926
"05031","Arkansas","AR","Craighead County",225884.606951567,634041.262954293,1.98778454117379
"05033","Arkansas","AR","Crawford County",46400.8590359625,130243.754376915,0.40832755951647
"05035","Arkansas","AR","Crittenden County",740172.080232419,2077607.88522741,6.51351430604529
"05037","Arkansas","AR","Cross County",29411.773050525,82556.6557294381,0.25882360284462
"05039","Arkansas","AR","Dallas County",10947.2741633208,30728.1829872856,0.0963360126372232
"05041","Arkansas","AR","Desha County",15776.3027293972,44282.9064020331,0.138831464018696
"05043","Arkansas","AR","Drew County",20994.589537737,58930.2487024621,0.184752387932085
"05045","Arkansas","AR","Faulkner County",1064623.48048034,2988318.79358332,9.36868662822696
"05047","Arkansas","AR","Franklin County",7024.46557562659,19717.1515370421,0.061815297065514
"05049","Arkansas","AR","Fulton County",15685.0885503904,44026.8749971609,0.138028779243436
"05051","Arkansas","AR","Garland County",345368.679529918,969424.152930252,3.03924437986328
"05053","Arkansas","AR","Grant County",153076.642828449,429674.731968628,1.34707445689035
"05055","Arkansas","AR","Greene County",64616.997395702,181375.097621724,0.568629577082178
