"state","state_name","budg_CBET_cuts","budg_CHE_cuts","budg_NSF_cuts","econ_budg_CBET_cuts","econ_budg_CHE_cuts","econ_budg_NSF_cuts","jobs_budg_CBET_cuts","jobs_budg_CHE_cuts","jobs_budg_NSF_cuts"
"ID","Idaho",665390.869063618,552715.096344855,1218105.96540847,1756631.89432795,1459167.85435042,3215799.74867837,9.2415398481058,7.67659856034521,16.918138408451
"IL","Illinois",9968359.15893119,14239395.8045785,24207754.9635097,26316468.1795784,37592004.9240873,63908473.1036657,138.449432762933,197.769386174702,336.218818937635
"IN","Indiana",8012291.90226116,9977809.91458633,17990101.8168475,21152450.6219695,26341418.1745079,47493868.7964774,111.28183197585,138.580693258143,249.862525233993
"KS","Kansas",1548751.77117487,1819430.62156259,3368182.39273747,4088704.67590167,4803296.84092525,8892001.51682691,21.5104412663177,25.2698697439249,46.7803110102426
"KY","Kentucky",1212843.83416998,1047299.11525414,2260142.94942412,3201907.72220875,2764869.66427092,5966777.38647967,16.8450532523609,14.5458210451963,31.3908742975572
"LA","Louisiana",1819134.33504639,3376711.96926562,5195846.30431201,4802514.64452248,8914519.59886124,13717034.2433837,25.2657546534221,46.8987773509114,72.1645320043336
"MA","Massachusetts",11196851.0999541,8053624.5004357,19250475.6003898,29559686.9038788,21261568.6811502,50821255.585029,155.511820832695,111.855895839385,267.36771667208
"MD","Maryland",7934055.35720906,4481745.55043096,12415800.90764,20945906.1430319,11831808.2531377,32777714.3961697,110.19521329457,62.2464659782077,172.441679272778
"ME","Maine",561012.114800965,366315.435114169,927327.549915135,1481071.98307455,967072.748701407,2448144.73177596,7.79183492779119,5.08771437658568,12.8795493043769
"MI","Michigan",9329561.32021724,7244195.2135999,16573756.5338171,24630041.8853735,19124675.3639037,43754717.2492772,129.577240558573,100.61382241111,230.191062969683
"MN","Minnesota",4081803.73126752,5433407.57862058,9515211.3098881,10775961.8505462,14344196.0075583,25120157.8581046,56.6917184898266,75.4639941475081,132.155712637335
"MO","Missouri",4283036.31054508,2518499.66169448,6801535.97223956,11307215.859839,6648839.10687342,17956054.9667124,59.4866154242373,34.9791619679788,94.4657773922161
"MS","Mississippi",647609.656562586,1917854.51566704,2565464.17222962,1709689.49332523,5063135.92136098,6772825.41468621,8.99457856336925,26.6368682731533,35.6314468365225
"MT","Montana",1272927.72336635,1035016.15540028,2307943.87876662,3360529.18968716,2732442.65025673,6092971.83994389,17.6795517134215,14.3752243805594,32.0547760939809
"NC","North Carolina",8947829.38061199,8573417.81710782,17521247.1977198,23622269.5648157,22633823.0371646,46256092.6019803,124.275408064055,119.075247459831,243.350655523886
"ND","North Dakota",412229.208348876,567837.343997617,980066.552346494,1088285.11004103,1499090.58815371,2587375.69819474,5.72540567151217,7.88662977774469,13.6120354492569
"NE","Nebraska",1964828.55068655,543322.471953353,2508151.0226399,5187147.37381248,1434371.32595685,6621518.69976933,27.289285426202,7.54614544379656,34.8354308699986
"NH","New Hampshire",661566.492321844,580529.098414796,1242095.59073664,1746535.53972967,1532596.81981506,3279132.35954473,9.18842350447006,8.06290414464995,17.25132764912
"NJ","New Jersey",6182984.59992052,4148892.1122782,10331876.7121987,16323079.3437902,10953075.1764145,27276154.5202046,85.8747861100072,57.6235015594195,143.498287669427
"NM","New Mexico",3625839.16887656,961834.624619857,4587673.79349642,9572215.40583413,2539243.40899642,12111458.8148305,50.3588773455078,13.3588142308313,63.7176915763392
"NV","Nevada",1510158.64891577,1104364.85546595,2614523.50438172,3986818.83313763,2915523.21843011,6902342.05156774,20.9744256793857,15.3384007703604,36.3128264497461
"NY","New York",13600341.3894428,11949746.8212359,25550088.2106787,35904901.2681289,31547331.6080629,67452232.8761918,188.893630408928,165.968705850499,354.862336259427
"OH","Ohio",5343310.93804703,7073978.39520763,12417289.3332547,14106340.8764442,18675302.9633481,32781643.8397923,74.2126519173199,98.2496999334393,172.462351850759
"OK","Oklahoma",2108262.78749219,674954.432768385,2783217.22026057,5565813.75897937,1781879.70250854,7347693.4614879,29.2814276040581,9.37436712178313,38.6557947258412
"OR","Oregon",2673441.9402968,2845164.31067764,5518606.25097444,7057886.72238355,7511233.78018896,14569120.5025725,37.1311380596778,39.5161709816338,76.6473090413116
