"CBSA_FIPS","CBSA_NAME","state_name","state","raw_funding","econ_impact","jobs"
"10820","Douglas County, MN","Minnesota","MN",254085.146825005,630634.611771201,2.27135571073389
"10860","Brooks County, TX","Texas","TX",26893.7038210209,83792.1010821888,0.297858715604917
"10860","Jim Wells County, TX","Texas","TX",176417.476203498,574491.031014992,2.08067678987052
"10900","Carbon County, PA","Pennsylvania","PA",1939258.29872583,4873730.82693725,16.3490282262354
"10900","Lehigh County, PA","Pennsylvania","PA",11976042.9334075,28909588.3551897,99.0866141943043
"10900","Northampton County, PA","Pennsylvania","PA",10027951.8529653,24623503.0764377,84.1707151906412
"10900","Warren County, NJ","New Jersey","NJ",2895803.15840965,8720077.9395491,24.8065473591338
"10940","Gratiot County, MI","Michigan","MI",575962.3375078,1488164.72582569,5.60523029787613
"10980","Alpena County, MI","Michigan","MI",156000.886928522,398312.026975807,1.49839432867086
"11020","Blair County, PA","Pennsylvania","PA",5656761.20528353,13599801.6532104,48.0682223337184
"11060","Jackson County, OK","Oklahoma","OK",76123.9708128399,216346.071914046,0.804607793025772
"11100","Armstrong County, TX","Texas","TX",1156.41988876941,3767.0307445413,0.013645754687479
"11100","Carson County, TX","Texas","TX",16600.102875999,53264.059224054,0.19345632718825
"11100","Oldham County, TX","Texas","TX",4839.01723397762,15752.9266569989,0.0570474126249003
"11100","Potter County, TX","Texas","TX",511533.537633735,1655705.07448536,5.96275984645025
"11100","Randall County, TX","Texas","TX",830431.421509093,2697477.46644277,9.76849275592527
"11140","Schley County, GA","Georgia","GA",28353.2475553004,77221.4583725466,0.263213240295738
"11140","Sumter County, GA","Georgia","GA",147730.110773884,415370.533978973,1.64818895159103
"11180","Boone County, IA","Iowa","IA",1483355.16721462,3644731.75955285,11.7612784008579
"11180","Story County, IA","Iowa","IA",9207948.83150935,22613111.5942078,72.863910000365
"11200","Hampshire County, MA","Massachusetts","MA",26245204.8261263,58824056.3985861,207.085777337154
"11220","Montgomery County, NY","New York","NY",1233258.44134046,2902745.99958328,8.7993426394378
"11260","Anchorage Municipality, AK","Alaska","AK",5857416.10848636,22051867.2402223,46.2744222985167
"11260","Matanuska-Susitna Borough, AK","Alaska","AK",846738.011010592,3324276.75442692,6.63329276204094
"11360","Harnett County, NC","North Carolina","NC",14134628.1664877,35397020.9991771,136.955437808104
"11380","Andrews County, TX","Texas","TX",58956.3074179602,191753.810118335,0.692133004483
"11420","Steuben County, IN","Indiana","IN",181780.160990643,493521.919476642,1.63475714566201
"11460","Washtenaw County, MI","Michigan","MI",372258723.35962,948567203.763542,3610.82127841858
"11500","Calhoun County, AL","Alabama","AL",2284590.56756799,5668419.13762613,21.1882841978046
"11540","Calumet County, WI","Wisconsin","WI",904587.402995727,2186168.84142824,8.52910328074975
"11540","Outagamie County, WI","Wisconsin","WI",4095645.52211989,9865591.23710483,38.4223725351398
"11580","DeSoto County, FL","Florida","FL",128730.388567047,403592.35791503,1.43703928935144
"11620","Carter County, OK","Oklahoma","OK",105460.847646106,298334.641597167,1.09977220010986
"11660","Clark County, AR","Arkansas","AR",272178.939878303,764772.016367783,2.42264797956388
"11680","Cowley County, KS","Kansas","KS",255112.909627138,704171.736346264,2.06964541379181
"11700","Buncombe County, NC","North Carolina","NC",5685182.7203164,14342569.5055589,55.3165159640126
"11700","Henderson County, NC","North Carolina","NC",3003314.78182547,7555532.58775573,29.0905569700967
"11700","Madison County, NC","North Carolina","NC",617288.333135578,1567151.51863792,6.00815937702001
"11740","Ashland County, OH","Ohio","OH",769307.602635684,2000668.69175307,7.56883245659086
"11820","Clatsop County, OR","Oregon","OR",805933.436916821,1977111.56441688,7.20370725931241
"11860","Atchison County, KS","Kansas","KS",430813.238668351,1172391.08247755,3.54544024769325
"11900","Athens County, OH","Ohio","OH",4694552.13314925,12236979.5679952,46.2129424831023
"11940","McMinn County, TN","Tennessee","TN",412055.26203354,1125132.59499453,4.17553840384987
"11940","Meigs County, TN","Tennessee","TN",82829.4077564904,224321.417007089,0.851520136303665
"11980","Henderson County, TX","Texas","TX",951136.058542879,3089484.76110959,11.1904131996491
"12007","Bradford County, FL","Florida","FL",5590972.24708753,17956158.5831256,62.607735831277
"12013","Calhoun County, FL","Florida","FL",268041.247747848,838470.114299697,2.97980819019181
"12020","Clarke County, GA","Georgia","GA",27348562.8848232,80307669.4331814,322.56340385104
"12020","Madison County, GA","Georgia","GA",4876666.60416631,14297853.5227784,57.417611749597
"12020","Oconee County, GA","Georgia","GA",20729056.9534469,60878720.1927585,244.541809824593
"12020","Oglethorpe County, GA","Georgia","GA",4253422.89090177,12482583.2887519,50.1202511283883
"12029","Dixie County, FL","Florida","FL",1704467.52920555,5464338.93613912,19.0636340623244
"12037","Franklin County, FL","Florida","FL",184845.109273423,593702.93928594,2.07013173557358
"12045","Gulf County, FL","Florida","FL",204630.174479955,643049.725914274,2.24528838354191
"12047","Hamilton County, FL","Florida","FL",231290.588245511,742844.0921999,2.59019182816142
"12049","Hardee County, FL","Florida","FL",126082.220249417,400360.103401655,1.39412525676115
"12059","Holmes County, FL","Florida","FL",109909.392717657,328261.979372529,1.18461570865069
"12060","Barrow County, GA","Georgia","GA",4659811.11977755,13670138.3236212,54.8823219691243
"12060","Bartow County, GA","Georgia","GA",2682086.93791625,7862853.37844743,31.4731519943269
"12060","Butts County, GA","Georgia","GA",258105.929905025,735421.470424693,2.92128739536403
"12060","Carroll County, GA","Georgia","GA",3449856.55935404,10103519.9544171,40.5334789406608
"12060","Cherokee County, GA","Georgia","GA",8371520.15329137,24544081.0394394,98.3990693640242
"12060","Clayton County, GA","Georgia","GA",20743372.2991646,60838820.0274392,244.203603380557
"12060","Cobb County, GA","Georgia","GA",53866690.9165851,157864040.75709,632.76401028025
"12060","Coweta County, GA","Georgia","GA",5254108.61723412,15385043.1087,61.6626146900248
"12060","Dawson County, GA","Georgia","GA",986713.291199133,2892464.36620485,11.6064464261304
"12060","DeKalb County, GA","Georgia","GA",217804957.155439,639481036.608569,2567.94888470556
"12060","Douglas County, GA","Georgia","GA",6491521.28127569,19027912.3950592,76.3163258891747
"12060","Fayette County, GA","Georgia","GA",7178911.27755076,21074286.3702551,84.5710593348071
"12060","Forsyth County, GA","Georgia","GA",8052726.66244353,23602157.2802271,94.7111991420754
