"GEOID","inst_name","budg_CHE_cuts","budg_CBET_cuts","budg_NSF_cuts","state_name","rep_name","pol_party","state","state_FIPS","econ_budg_CHE_cuts","econ_budg_CBET_cuts","econ_budg_NSF_cuts","jobs_budg_CHE_cuts","jobs_budg_CBET_cuts","jobs_budg_NSF_cuts"
"2106","University of Kentucky Research Foundation",187899.314148348,455510.293583349,643409.607731697,"Kentucky","Andy Barr","Republican","KY","21",496054.189351638,1202547.17506004,1698601.36441168,2.60971269650483,6.3265318553243,8.93624455182912
"2104","University of Cincinnati Main Campus",124777.356409551,116028.931723535,240806.288133086,"Kentucky","Thomas Massie","Republican","KY","21",329412.220921215,306316.379750132,635728.600671347,1.73301883902154,1.61151294060465,3.34453177962619
"2102","University of Louisville Research Foundation Inc",38875.4654066791,36349.1493689206,75224.6147755997,"Kentucky","Brett Guthrie","Republican","KY","21",102631.228673633,95961.7543339504,198592.983007583,0.53993701953721,0.504849296790564,1.04478631632777
"2104","University of Louisville Research Foundation Inc",35136.5180556052,32853.1769265337,67989.6949821389,"Kentucky","Thomas Massie","Republican","KY","21",92760.4076667977,86732.3870860489,179492.794752847,0.488007195216739,0.456294123979634,0.944301319196373
"2205","Louisiana State University",756327.464968238,578561.634266471,1334889.09923471,"Louisiana","Julia Letlow","Republican","LA","22",1996704.50751615,1527402.71446348,3524107.22197963,10.5045481245589,8.03557825370099,18.5401263782598
"2206","Louisiana State University",669759.86355621,512340.724320309,1182100.58787652,"Louisiana","Cleo Fields","Democrat","LA","22",1768166.0397884,1352579.51220562,3120745.55199401,9.30222032716959,7.11584339333763,16.4180637205072
"2202","Tulane University",399486.280281885,108599.590109814,508085.870391698,"Louisiana","Troy A. Carter","Democrat","LA","22",1054643.77994418,286702.917889909,1341346.69783408,5.54842055947062,1.50832764041408,7.0567481998847
"2201","Tulane University",371090.890853275,100880.357172003,471971.248025278,"Louisiana","Steve Scalise","Republican","LA","22",979679.951852647,266324.142934088,1246004.09478673,5.15404015073994,1.40111607183337,6.55515622257331
"2202","Xavier University of Louisiana",153314.734119365,72190.62602857,225505.360147935,"Louisiana","Troy A. Carter","Democrat","LA","22",404750.898075124,190583.252715425,595334.150790549,2.1293713072134,1.00264758373014,3.13201889094354
"2302","University of Maine",12532.6604445639,470254.166400891,482786.826845455,"Maine","Jared F. Golden","Democrat","ME","23",33086.2235736486,1241470.99929835,1274557.222872,0.17406472839672,6.53130786667905,6.70537259507577
"2301","Bowdoin College",103119.997030653,0,103119.997030653,"Maine","Chellie Pingree","Democrat","ME","23",272236.792160925,0,272236.792160925,1.4322221809813,0,1.4322221809813
"2301","Colby College",70084.583810873,0,70084.583810873,"Maine","Chellie Pingree","Democrat","ME","23",185023.301260705,0,185023.301260705,0.973396997373236,0,0.973396997373236
"2302","Colby College",64702.7303835624,0,64702.7303835624,"Maine","Jared F. Golden","Democrat","ME","23",170815.208212605,0,170815.208212605,0.898649033105034,0,0.898649033105034
"2301","Bigelow Laboratory for Ocean Sciences",58018.1202896313,0,58018.1202896313,"Maine","Chellie Pingree","Democrat","ME","23",153167.837564627,0,153167.837564627,0.805807226244879,0,0.805807226244879
"2407","Johns Hopkins University",601977.56936129,800672.420780721,1402649.99014201,"Maryland","Kweisi Mfume","Democrat","MD","24",1589220.78311381,2113775.1908611,3702995.97397491,8.36079957446236,11.1204502886211,19.4812498630835
"2402","Johns Hopkins University",590314.509723767,785159.73281862,1375474.24254239,"Maryland","Johnny Olszewski, Jr.","Democrat","MD","24",1558430.30567074,2072821.69464116,3631252.0003119,8.19881263505232,10.9049962891475,19.1038089241998
"2404","University of Maryland, College Park",457067.201709538,707847.656919622,1164914.85862916,"Maryland","Glenn Ivey","Democrat","MD","24",1206657.41251318,1868717.8142678,3075375.22678098,6.34815557929914,9.83121745721697,16.1793730365161
"2408","University of Maryland, College Park",360543.693273983,558364.30079995,918907.994073934,"Maryland","Jamie Raskin","Democrat","MD","24",951835.350243316,1474081.75411187,2425917.10435518,5.00755129547199,7.75505973333264,12.7626110288046
"2408","American University",0,857119.098979387,857119.098979387,"Maryland","Jamie Raskin","Democrat","MD","24",0,2262794.42130558,2262794.42130558,0,11.9044319302693,11.9044319302693
"2501","University of Massachusetts Amherst",174852.853068475,889915.308701941,1064768.16177042,"Massachusetts","Richard E. Neal","Democrat","MA","25",461611.532100775,2349376.41497312,2810987.9470739,2.42851184817327,12.3599348430825,14.7884466912558
"2507","Massachusetts Institute of Technology",440333.305384582,516600.689990707,956933.995375289,"Massachusetts","Ayanna Pressley","Democrat","MA","25",1162479.9262153,1363825.82157547,2526305.74779076,6.11574035256364,7.17500958320426,13.2907499357679
"2502","University of Massachusetts Amherst",155821.250013403,793053.77850309,948875.028516493,"Massachusetts","James P. McGovern","Democrat","MA","25",411368.100035384,2093661.97524816,2505030.07528354,2.16418402796393,11.0146358125429,13.1788198405069
"2505","Tufts University",189313.478666678,696048.949075233,885362.427741911,"Massachusetts","Katherine M. Clark","Democrat","MA","25",499787.583680029,1837569.22555862,2337356.80923864,2.62935387037052,9.6673465149338,12.2967003853043
"2505","Massachusetts Institute of Technology",405240.987780288,475430.250993552,880671.238773839,"Massachusetts","Katherine M. Clark","Democrat","MA","25",1069836.20773996,1255135.86262298,2324972.07036294,5.62834705250399,6.603197930466,12.23154498297
"2606","Regents of the University of Michigan - Ann Arbor",2027455.79633435,2950869.18683158,4978324.98316593,"Michigan","Debbie Dingell","Democrat","MI","26",5352483.30232268,7790294.65323538,13142777.9555581,28.1591082824215,40.9842942615498,69.1434025439713
"2607","Michigan State University",900065.481754922,2236294.39152973,3136359.87328466,"Michigan","Tom Barrett","Republican","MI","26",2376172.87183299,5903817.1936385,8279990.06547149,12.5009094688184,31.0596443268019,43.5605537956202
"2607","Regents of the University of Michigan - Ann Arbor",282395.941409033,411014.377475873,693410.318884905,"Michigan","Tom Barrett","Republican","MI","26",745525.285319846,1085077.9565363,1830603.24185615,3.92216585290323,5.70853302049823,9.63069887340146
"2601","Michigan Technological University",222516.432166999,325566.589305391,548083.02147239,"Michigan","Jack Bergman","Republican","MI","26",587443.380920877,859495.795766233,1446939.17668711,3.09050600231943,4.5217581847971,7.61226418711653
"2605","University of Notre Dame",315719.308132596,218658.278141113,534377.586273709,"Michigan","Tim Walberg","Republican","MI","26",833498.973470054,577257.854292538,1410756.82776259,4.3849903907305,3.03692052973768,7.42191092046818
"2705","University of Minnesota-Twin Cities",1582767.79879718,1246456.27273455,2829224.07153174,"Minnesota","Ilhan Omar","Democrat","MN","27",4178506.98882456,3290644.56001922,7469151.54884378,21.9828860944053,17.3118926768688,39.2947787712741
"2704","University of Minnesota-Twin Cities",1184404.83304399,932738.734466744,2117143.56751073,"Minnesota","Betty McCollum","Democrat","MN","27",3126828.75923612,2462430.2589922,5589259.01822833,16.4500671256109,12.9547046453714,29.4047717709824
"2703","University of Minnesota-Twin Cities",615096.839841143,484399.110811982,1099495.95065312,"Minnesota","Kelly Morrison","Democrat","MN","27",1623855.65718062,1278813.65254363,2902669.30972425,8.54301166446031,6.72776542794419,15.2707770924045
"2702","University of Minnesota-Twin Cities",477730.299926247,376220.649340323,853950.94926657,"Minnesota","Angie Craig","Democrat","MN","27",1261207.99180529,993222.514258453,2254430.50606375,6.63514305453121,5.22528679639338,11.8604298509246
"2706","University of Minnesota-Twin Cities",349521.529339011,275254.085300109,624775.61463912,"Minnesota","Tom Emmer","Republican","MN","27",922736.83745499,726670.785192287,1649407.62264728,4.85446568526405,3.82297340694595,8.67743909221
"2801","University of Mississippi",441756.579040664,317248.32483082,759004.903871484,"Mississippi","Trent Kelly","Republican","MS","28",1166237.36866735,837535.577553365,2003772.94622072,6.13550804223145,4.40622673376139,10.5417347759928
"2803","Mississippi State University",551816.379890411,60501.1817766329,612317.561667044,"Mississippi","Michael Guest","Republican","MS","28",1456795.24291068,159723.119890311,1616518.362801,7.66411638736681,0.840294191342124,8.50441057870894
"2804","University of Southern Mississippi",257999.483059475,78440.7078947243,336440.190954199,"Mississippi","Mike Ezell","Republican","MS","28",681118.635277013,207083.468842072,888202.104119085,3.58332615360381,1.08945427631562,4.67278042991943
"2801","Mississippi State University",261750.051275413,28698.2916951501,290448.342970563,"Mississippi","Trent Kelly","Republican","MS","28",691020.135367091,75763.4900751962,766783.625442287,3.63541737882518,0.398587384654862,4.03400476348005
"2802","University of Mississippi",78918.5686808445,56675.5197317374,135594.088412582,"Mississippi","Bennie G. Thompson","Democrat","MS","28",208345.02131743,149623.372091787,357968.393409216,1.0960912316784,0.78715999627413,1.88325122795253
"2901","Washington University",306713.501151141,1578700.0139307,1885413.51508184,"Missouri","Wesley Bell","Democrat","MO","29",809723.643039013,4167768.03677704,4977491.67981605,4.2599097382103,21.9263890823708,26.1862988205811
"2908","Missouri University of Science and Technology",369857.503195989,411593.278894287,781450.782090276,"Missouri","Jason Smith","Republican","MO","29",976423.808437412,1086606.25628092,2063030.06471833,5.13690976661096,5.71657331797621,10.8534830845872
"2903","University of Missouri-Columbia",418456.778867785,352236.893632281,770693.672500066,"Missouri","Robert F. Onder, Jr.","Republican","MO","29",1104725.89621095,929905.399189222,2034631.29540018,5.81189970649702,4.89217907822613,10.7040787847231
"2902","Washington University",123363.220352503,634968.84538207,758332.065734573,"Missouri","Ann Wagner","Republican","MO","29",325678.901730609,1676317.75180866,2001996.65353927,1.71337806045143,8.81901174141764,10.5323898018691
"2904","University of Missouri-Columbia",233994.198795456,196965.120112745,430959.3189082,"Missouri","Mark Alford","Republican","MO","29",617744.684820003,519987.917097647,1137732.60191765,3.24991942771466,2.73562666823257,5.98554609594723
"3001","Montana State University",450434.107461104,1050640.9824796,1501075.0899407,"Montana","Ryan K. Zinke","Republican","MT","30",1189146.04369732,2773692.19374613,3962838.23744345,6.25602927029312,14.5922358677722,20.8482651380653
"3001","University of Montana",456043.032474597,0,456043.032474597,"Montana","Ryan K. Zinke","Republican","MT","30",1203953.60573294,0,1203953.60573294,6.33393100659163,0,6.33393100659163
"3002","Montana State University",91790.1437473259,214101.20861454,305891.352361865,"Montana","Troy Downing","Republican","MT","30",242325.97949294,565227.190742384,807553.170235325,1.27486310760175,2.97362789742416,4.24849100502591
"3002","University of Montana",28502.6895296623,0,28502.6895296623,"Montana","Troy Downing","Republican","MT","30",75247.1003583085,0,75247.1003583085,0.395870687911977,0,0.395870687911977
"3001","University of Washington",1252.22189583212,2612.32371074982,3864.54560658195,"Montana","Ryan K. Zinke","Republican","MT","30",3305.86580499681,6896.53459637953,10202.4004013763,0.0173919707754462,0.0362822737604142,0.0536742445358604
"3101","University of Nebraska-Lincoln",341533.24852569,1477044.80116444,1818578.04969013,"Nebraska","Mike Flood","Republican","NE","31",901647.776107821,3899398.27507412,4801046.05118194,4.74351734063458,20.5145111272839,25.2580284679184
"3103","University of Nebraska-Lincoln",52114.9582683154,225383.995571157,277498.953839472,"Nebraska","Adrian Smith","Republican","NE","31",137583.489828353,595013.748307855,732597.238136207,0.723818864837714,3.13033327182163,3.85415213665934
"3102","University of Nebraska-Lincoln",21632.6241868479,93555.6208031218,115188.24498997,"Nebraska","Don Bacon","Republican","NE","31",57110.1278532785,246986.838920242,304096.96677352,0.300453113706221,1.29938362226558,1.5998367359718
"3102","University of Nebraska at Omaha",0,103802.688588983,103802.688588983,"Nebraska","Don Bacon","Republican","NE","31",0,274039.097874916,274039.097874916,0,1.44170400818033,1.44170400818033
"3102","Creighton University",66081.9621398005,0,66081.9621398005,"Nebraska","Don Bacon","Republican","NE","31",174456.380049073,0,174456.380049073,0.917805029719451,0,0.917805029719451
"3202","Board of Regents, NSHE, obo University of Nevada, Reno",943514.828443987,1030122.65209109,1973637.48053508,"Nevada","Mark E. Amodei","Republican","NV","32",2490879.14709213,2719523.80152048,5210402.94861261,13.1043726172776,14.3072590568207,27.4116316740983
"3201","University of Nevada Las Vegas",31286.7683489959,113126.12670137,144412.895050366,"Nevada","Dina Titus","Democrat","NV","32",82597.0684413491,298652.974491616,381250.042932965,0.434538449291609,1.57119620418569,2.0057346534773
