org_name,org_city,org_state,lat,lon,week,current_loss,current_grant_loss,current_econ_loss,current_job_loss,overall_loss,overall_grant_loss,overall_econ_loss,overall_job_loss
Doña Ana Branch Community College,Las Cruces,NM,32.27508,-106.75514,2025-02-28,0,0,0,0,0,0,0,0
Drexel University,Philadelphia,PA,39.95407,-75.18654,2025-02-28,0,0,0,0,0,0,0,0
Duke University,Durham,NC,36.00777,-78.92648,2025-02-28,0,0,0,0,0,0,0,0
Duquesne University,Pittsburgh,PA,40.43782,-79.99365,2025-02-28,0,0,0,0,0,0,0,0
East Carolina University,Greenville,NC,35.60836,-77.3648,2025-02-28,0,0,0,0,0,0,0,0
East Central University,Ada,OK,34.7725,-96.66118,2025-02-28,0,0,0,0,0,0,0,0
Eastern Michigan University,Ypsilanti,MI,42.24913,-83.62638,2025-02-28,0,0,0,0,0,0,0,0
Eastern Washington University,Cheney,WA,47.49013,-117.57977,2025-02-28,0,0,0,0,0,0,0,0
Ecological Society of America,Washington,DC,38.90538,-77.04459,2025-02-28,0,0,0,0,0,0,0,0
Edna Inc.,Oxford,MA,42.09465,-71.8717,2025-02-28,0,0,0,0,0,0,0,0
Education Development Center,Waltham,MA,42.38994,-71.25758,2025-02-28,0,0,0,0,0,0,0,0
Educational Testing Service,Princeton,NJ,40.34896,-74.7147,2025-02-28,0,0,0,0,0,0,0,0
Elmhurst University,Elmhurst,IL,41.89699,-87.94714,2025-02-28,0,0,0,0,0,0,0,0
Emory University,Atlanta,GA,33.79125,-84.3249,2025-02-28,0,0,0,0,0,0,0,0
Eureka Scientific Inc.,Oakland,CA,37.80371,-122.20846,2025-02-28,0,0,0,0,0,0,0,0
Exploratorium,San Francisco,CA,37.80167,-122.39914,2025-02-28,0,0,0,0,0,0,0,0
Family Health International,Durham,NC,35.99283,-78.90391,2025-02-28,0,0,0,0,0,0,0,0
Federation of American Societies for Experimental Biology,Rockville,MD,39.04771,-77.12739,2025-02-28,0,0,0,0,0,0,0,0
Fielding Graduate University,Santa Barbara,CA,34.42941,-119.71726,2025-02-28,0,0,0,0,0,0,0,0
Fisk University,Nashville,TN,36.16704,-86.80326,2025-02-28,0,0,0,0,0,0,0,0
Florida Agricultural and Mechanical University,Tallahassee,FL,30.42578,-84.28287,2025-02-28,0,0,0,0,0,0,0,0
Florida Atlantic University,Boca Raton,FL,26.36831,-80.10176,2025-02-28,0,0,0,0,0,0,0,0
Florida Gulf Coast University,Fort Myers,FL,26.4591,-81.77369,2025-02-28,0,0,0,0,0,0,0,0
Florida International University,Miami,FL,25.76105,-80.3762,2025-02-28,0,0,0,0,0,0,0,0
Florida State University,Tallahassee,FL,30.44146,-84.29789,2025-02-28,0,0,0,0,0,0,0,0
Fort Valley State University,Fort Valley,GA,32.53432,-83.89933,2025-02-28,0,0,0,0,0,0,0,0
Framingham State University,Framingham,MA,42.29831,-71.43706,2025-02-28,0,0,0,0,0,0,0,0
Franklin and Marshall College,Lancaster,PA,40.04894,-76.31868,2025-02-28,0,0,0,0,0,0,0,0
Future Earth,Fort Collins,CO,40.52469,-105.08373,2025-02-28,0,0,0,0,0,0,0,0
"GPRA Strategic Management, Inc.",White Plains,MD,38.61657,-77.03006,2025-02-28,0,0,0,0,0,0,0,0
Galveston College,Galveston,TX,29.28414,-94.80833,2025-02-28,0,0,0,0,0,0,0,0
George Mason University,Fairfax,VA,38.83388,-77.31602,2025-02-28,0,0,0,0,0,0,0,0
George Washington University,Washington,DC,38.89808,-77.04393,2025-02-28,0,0,0,0,0,0,0,0
Georgetown University,Washington,DC,38.90521,-77.07547,2025-02-28,0,0,0,0,0,0,0,0
Georgia Gwinnett College,Lawrenceville,GA,33.9803,-84.00477,2025-02-28,0,0,0,0,0,0,0,0
Georgia Institute of Technology,Atlanta,GA,33.7819,-84.40401,2025-02-28,0,0,0,0,0,0,0,0
Georgia Piedmont Technical College,Clarkston,GA,33.79005,-84.23479,2025-02-28,0,0,0,0,0,0,0,0
"Georgia State University Research Foundation, Inc.",Atlanta,GA,33.75474,-84.3871,2025-02-28,0,0,0,0,0,0,0,0
Global Fund for Women Inc.,San Francisco,CA,37.79391,-122.40332,2025-02-28,0,0,0,0,0,0,0,0
Gordon Research Conferences,East Greenwich,RI,41.48,-71.56965,2025-02-28,0,0,0,0,0,0,0,0
"Granted Advisors, LLC",New Orleans,LA,30.01574,-90.0423,2025-02-28,0,0,0,0,0,0,0,0
Greater Washington Educational Telecommunications Association,Arlington,VA,38.84149,-77.08622,2025-02-28,0,0,0,0,0,0,0,0
Hamilton College,Clinton,NY,43.04994,-75.406,2025-02-28,0,0,0,0,0,0,0,0
Hampton University,Hampton,VA,37.02147,-76.33691,2025-02-28,0,0,0,0,0,0,0,0
Harris-Stowe State University,Saint Louis,MO,38.63185,-90.22395,2025-02-28,0,0,0,0,0,0,0,0
Harvard University,Cambridge,MA,42.3697,-71.11193,2025-02-28,0,0,0,0,0,0,0,0
Haverford College,Haverford,PA,40.0075,-75.30519,2025-02-28,0,0,0,0,0,0,0,0
Hawaii Pacific University,Honolulu,HI,21.30656,-157.86559,2025-02-28,0,0,0,0,0,0,0,0
Healthpartners Institute,Bloomington,MN,44.85364,-93.22558,2025-02-28,0,0,0,0,0,0,0,0
