"GEOID","inst_name","budg_CHE_cuts","budg_CBET_cuts","budg_NSF_cuts","state_name","rep_name","pol_party","state","state_FIPS","econ_budg_CHE_cuts","econ_budg_CBET_cuts","econ_budg_NSF_cuts","jobs_budg_CHE_cuts","jobs_budg_CBET_cuts","jobs_budg_NSF_cuts"
"0200","University of New Mexico",183.04638250404,812.91305930039,995.95944180443,"Alaska","Nicholas J. Begich III","Republican","AK","02",483.242449810665,2146.09047655303,2629.33292636369,0.00254231086811166,0.0112904591569499,0.0138327700250615
"0200","University of Arizona",432.952266732875,308.180890826246,741.133157559122,"Alaska","Nicholas J. Begich III","Republican","AK","02",1142.99398417479,813.597551781291,1956.59153595608,0.00601322592684549,0.00428029015036453,0.01029351607721
"0401","Arizona State University",224673.242566798,985431.912271268,1210105.15483807,"Arizona","David Schweikert","Republican","AZ","04",593137.360376346,2601540.24839615,3194677.60877249,3.12046170231663,13.6865543371009,16.8070160394176
"0401","University of Arizona",21539.3752699606,15331.9993186058,36871.3745885663,"Arizona","David Schweikert","Republican","AZ","04",56863.9507126959,40476.4782011192,97340.4289138151,0.299157989860563,0.212944434980636,0.512102424841199
"0401","Northern Arizona University",0,11860.53473571,11860.53473571,"Arizona","David Schweikert","Republican","AZ","04",0,31311.8117022743,31311.8117022743,0,0.164729649107083,0.164729649107083
"0401","University of California-Los Angeles",1500.53291033959,605.18592940606,2105.71883974565,"Arizona","David Schweikert","Republican","AZ","04",3961.40688329651,1597.690853632,5559.09773692851,0.0208407348658276,0.00840536013063971,0.0292460949964673
"0401","Rutgers University New Brunswick",828.357067729017,958.411840917253,1786.76890864627,"Arizona","David Schweikert","Republican","AZ","04",2186.86265880461,2530.20726002155,4717.06991882615,0.0115049592740141,0.0133112755682952,0.0248162348423093
"0402","Northern Arizona University",0,332592.617413964,332592.617413964,"Arizona","Elijah Crane","Republican","AZ","04",0,878044.509972866,878044.509972866,0,4.61934190852728,4.61934190852728
"0402","Arizona State University",22706.3383445168,99591.523048692,122297.861393209,"Arizona","Elijah Crane","Republican","AZ","04",59944.7332295243,262921.620848547,322866.354078071,0.315365810340511,1.3832155978985,1.69858140823901
"0402","University of Arizona",17642.8048693647,12558.3713011695,30201.1761705342,"Arizona","Elijah Crane","Republican","AZ","04",46577.0048551227,33154.1002350876,79731.1050902103,0.245038956518954,0.174421823627355,0.419460780146308
