"CBSA_FIPS","CBSA_NAME","budg_CBET_cuts","budg_CHE_cuts","budg_NSF_cuts","econ_budg_CBET_cuts","econ_budg_CHE_cuts","econ_budg_NSF_cuts","jobs_budg_CBET_cuts","jobs_budg_CHE_cuts","jobs_budg_NSF_cuts"
"04011","Greenlee County, AZ",385.226113532808,667.074548034492,1052.3006615673,1016.99693972661,1761.07680681106,2778.07374653767,0.00535036268795567,0.00926492427825683,0.0146152869662125
"04012","La Paz County, AZ",728.812825213779,150.863091681851,879.675916895629,1924.06585856438,398.278562040086,2322.34442060446,0.0101224003501914,0.00209532071780348,0.0122177210679949
"05001","Arkansas County, AR",137.295293889648,462.487644389356,599.782938279004,362.459575868671,1220.9673811879,1583.42695705657,0.00190687908180067,0.00642343950540772,0.00833031858720838
"05003","Ashley County, AR",59.8771249859868,263.190749965565,323.067874951552,158.075609963005,694.823579909091,852.899189872096,0.000831626735916484,0.00365542708285506,0.00448705381877155
"05011","Bradley County, AR",59.8771249859868,172.348238458182,232.225363444169,158.075609963005,454.999349529601,613.074959492606,0.000831626735916484,0.00239372553414142,0.0032253522700579
"05015","Carroll County, AR",877.77897681399,669.764350280503,1547.54332709449,2317.33649878893,1768.17788474053,4085.51438352946,0.0121913746779721,0.00930228264278476,0.0214936573207568
"05017","Chicot County, AR",43.0998419061467,140.906204599801,184.006046505947,113.783582632227,371.992380143473,485.775962775701,0.000598608915363149,0.00195703061944167,0.00255563953480482
"05021","Clay County, AR",850.359944239098,1119.85772390695,1970.21766814605,2244.95025279122,2956.42439111435,5201.37464390556,0.0118105547810986,0.0155535794987076,0.0273641342798062
"05023","Cleburne County, AR",603.790080794841,623.121998856065,1226.91207965091,1594.00581329838,1645.04207698001,3239.04789027839,0.00838597334437279,0.00865447220633423,0.017040445550707
"05029","Conway County, AR",1340.28732797576,601.968850406932,1942.2561783827,3538.35854585602,1589.1977650743,5127.55631093032,0.0186151017774412,0.00836067847787405,0.0269757802553152
