"state_name","org_name","budg_NIH_cuts","econ_budg_NIH_cuts","jobs_budg_NIH_cuts"
"Missouri","University of Missouri-Columbia",13802845.1967942,32453351.0238648,118.70446869243
"Missouri","University of Kansas Medical Center",5260860.00915545,12369372.700361,45.2433960787368
"Missouri","Saint Louis University",4931291.17153465,11594488.0282994,42.409104075198
"Missouri","University of Missouri Kansas City",1274714.43232771,2997117.93747611,10.9625441180183
"Montana","Montana State University - Bozeman",3473776.42768282,9171322.25837531,31.9587431346819
"Montana","University of Montana",2358554.44116482,6226958.8426777,21.6987008587164
"Montana","Mc Laughlin Research Institute",248284.358985506,655510.196287778,2.28421610266666
"Montana","Montana Cancer Consortium",189150.439910657,499387.244933106,1.74018404717804
"Montana","fort Belknap Indian Community",104961.602337992,277115.323866508,0.965646741509528
"Nebraska","University of Nebraska Medical Center",18362405.226893,47515492.8724286,168.934128087416
"Nebraska","University of Nebraska Lincoln",4313562.14052534,11161992.5935808,39.6847716928331
"Nebraska","Father Flanagan's Boys' Home",2478773.07043954,6414199.15885206,22.8047122480437
"Nebraska","Creighton University",1454568.86109062,3763916.30059361,13.3820335220337
"Nebraska","University of Nebraska Omaha",823698.097032429,2131443.05307327,7.57802249269834
"Nevada","University of Nevada Reno",5128623.34651821,27160895.479532,44.6190231147085
"Nevada","University of Nevada Las Vegas",1787195.37008133,9464884.31076483,15.5485997197075
"Nevada","Southern Nevada Cancer Research Foundation",309615.622515837,1639706.60229748,2.69365591588778
"Nevada","University of California, San Francisco",152952.823521743,810029.392350233,1.33068956463916
"Nevada","Strykagen Corporation",136861.321351817,724809.71856726,1.19069349576081
"New Hampshire","Dartmouth College",11616615.0531812,28046744.6311613,81.3163053722686
"New Hampshire","Massachusetts General Hospital",2474396.38257435,5974095.13361874,17.3207746780205
"New Hampshire","Dartmouth-Hitchcock Clinic",1666012.13494075,4022360.78988458,11.6620849445853
"New Hampshire","Brigham and Women's Hospital",1205874.00267532,2911419.55342052,8.44111801872723
"New Hampshire","University of New Hampshire",967243.000486079,2335277.29951611,6.77070100340255
"New Jersey","University of Pennsylvania",17264098.344739,56143560.0446122,151.924065433703
